volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
23	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol. 39.		A155668	1941-06-26	R453160	1968-12-23	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Vol. 39. © 26Jun41; A155668. 23Dec68; R453160.
23	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol. 42.		A155669	1941-06-26	R453161	1968-12-23	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Vol. 42. © 26Jun41; A155669. 23Dec68; R453161.
23	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Dec41.		AA387434	1941-12-01	R453640	1969-01-23	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Dec41. © 1Dec41; AA387434. 23Jan69; R453640.
23	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Mar42.		AA396508	1942-03-18	R458466	1969-04-03	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Mar42. © 18Mar42; AA396508. 3Apr69; R458466.
23	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1941 cumulative annual pocket part. Vol. 1-42.		AA379019	1941-10-01	R453606	1969-01-23	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1941 cumulative annual pocket part. Vol. 1-42. © 1Oct41; AA379019. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 23Jan69; R453606.
23	1A	1	1	ACADEMY OF POLITICAL SCIENCE.	America faces the future. Edited by John A. Krout & others. (Proceedings of the Academy of Political Science, May 1941)		A154136	1941-05-16	R456837	1969-03-03	Academy of Political Science|PWH						ACADEMY OF POLITICAL SCIENCE. America faces the future. Edited by John A. Krout & others. (Proceedings of the Academy of Political Science, May 1941) © 16May41; A154136. Academy of Political Science (PWH); 3Mar69; R456837.
23	1A	1	1	ACADEMY OF POLITICAL SCIENCE.	American industry in a war of machines. Edited by John A. Krout. (Proceedings of the Academy of Political Science, Jan. 1942)		AA387640	1941-12-22	R456838	1969-03-03	Academy of Political Science|PWH						ACADEMY OF POLITICAL SCIENCE. American industry in a war of machines. Edited by John A. Krout. (Proceedings of the Academy of Political Science, Jan. 1942) © 22Dec41; AA387640. Academy of Political Science (PWH); 3Mar69; R456838.
23	1A	1	2	ADAMS, R. L.	Farm management crop manual. (University of California syllabus series, no.278)		AA389368	1941-10-10	R456341	1969-02-24	Regents of the University of California|PWH						ADAMS, R. L. Farm management crop manual. (University of California syllabus series, no.278) © 10Oct41; AA389368. Regents of the University of California (PWH); 24Feb69; R456341.
23	1A	1	2	ADDAMS, CHARLES.	Automobile-tire hoarder. (In The New Yorker, Feb. 7, 1942)		B530450	1942-02-05	R462664	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Automobile-tire hoarder. (In The New Yorker, Feb. 7, 1942) © 5Feb42; B530450. Charles Addams (A); 2Jun69; R462664.
23	1A	1	2	ADDAMS, CHARLES.	Cleaning woman sweeping under the legs of her employer who is gagged and bound. (In The New Yorker, Feb. 14, 1942)		B531130	1942-02-12	R462665	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Cleaning woman sweeping under the legs of her employer who is gagged and bound. (In The New Yorker, Feb. 14, 1942) © 12Feb42; B531130. Charles Addams (A); 2Jun69; R462665.
23	1A	1	2	ADDAMS, CHARLES.	Did I ever tell you I was voted man likely to succeed at Lafayette in 1938? P-T craft in action. (In The New Yorker, May 16, 1942)		B542444	1942-05-14	R462673	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Did I ever tell you I was voted man likely to succeed at Lafayette in 1938? P-T craft in action. (In The New Yorker, May 16, 1942) © 14May42; B542444. Charles Addams (A); 2Jun69; R462673.
23	1A	1	2	ADDAMS, CHARLES.	Elderly gentleman carrying his girl friend into a pawnshop. (In The New Yorker, Jan. 24, 1943)		B528320	1942-01-22	R462662	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Elderly gentleman carrying his girl friend into a pawnshop. (In The New Yorker, Jan. 24, 1943) © 22Jan42; B528320. Charles Addams (A); 2Jun69; R462662.
23	1A	1	3	ADDAMS, CHARLES.	I tell you, Mamma, the blood keeps going to my head; bats. (In The New Yorker, May 23, 1942)		B544085	1942-05-21	R462674	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. I tell you, Mamma, the blood keeps going to my head; bats. (In The New Yorker, May 23, 1942) © 21May42; B544085. Charles Addams (A); 2Jun69; R462674.
23	1A	1	3	ADDAMS, CHARLES.	I want to speak, to the manager at once; watchman finds three people in Tunnel of Love, Coney Island. (In The New Yorker, Feb. 21, 1942)		B531676	1942-02-19	R462667	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. I want to speak, to the manager at once; watchman finds three people in Tunnel of Love, Coney Island. (In The New Yorker, Feb. 21, 1942) © 19Feb42; B531676. Charles Addams (A); 2Jun69; R462667.
23	1A	1	3	ADDAMS, CHARLES.	Imagine it, Barclay, here we stand, gazing down at tracks made ten million years ago. (In The New Yorker, Apr. 11, 1942)		B538390	1942-04-09	R462670	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Imagine it, Barclay, here we stand, gazing down at tracks made ten million years ago. (In The New Yorker, Apr. 11, 1942) © 9Apr42; B538390. Charles Addams (A); 2Jun69; R462670.
23	1A	1	3	ADDAMS, CHARLES.	It's from Nelson Halliday, greetings from Miami, Florida, it says. (In The New Yorker, Feb. 21, 1942)		B531676	1942-02-19	R462666	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. It's from Nelson Halliday, greetings from Miami, Florida, it says. (In The New Yorker, Feb. 21, 1942) © 19Feb42; B531676. Charles Addams (A); 2Jun69; R462666.
23	1A	1	3	ADDAMS, CHARLES.	It's not locked, Honey; gun rigged up so that Honey will get killed as he opens the door. (In The New Yorker, Apr. 25, 1942)		B540633	1942-04-23	R462671	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. It's not locked, Honey; gun rigged up so that Honey will get killed as he opens the door. (In The New Yorker, Apr. 25, 1942) © 23Apr42; B540633. Charles Addams (A); 2Jun69; R462671.
23	1A	1	3	ADDAMS, CHARLES.	Japanese fishermen taking in their nets, the catch included a one-man submarine. (In The New Yorker, Jan. 17, 1942)		B527719	1942-01-15	R462661	1969-06-02	Charles Addams|A						ADDAMS, CHARLES. Japanese fishermen taking in their nets, the catch included a one-man submarine. (In The New Yorker, Jan. 17, 1942) © 15Jan42; B527719. Charles Addams (A); 2Jun69; R462661.
