entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
542cfbbf-832d-d7ee-7c83-d73da1732b7c						Dante Alighieri: On world government.  Translation by Herbert Wallace Schneider, introd. by Dino Bigongiari.	A269614	1957-01-26	RE271867	1985-12-23	Herbert Wallace Schneider|A	Prev. pub.|1949-10-20|A40183					
a10d716e-a43e-b08b-6e80-52b307fc8ad4					Thomas R. Smith.	Simplified physical-political world map.  No. S9arx.	F23450	1957-06-25	RE263124	1985-10-15	Rand McNally & Company|PWH	Appl. states prev. publication reg.|1951-07-02|F9805					
837bebc1-f005-e383-7d1c-275dfd311def					Katherine N. Cutler, foreword by Helen VanPelt Wilson, illustrator: Joan Lucas.	Junior flower arranging.	A276110	1957-02-15	RE267229	1985-12-13	Katherine N. Cutler|A	Prev. reg.|1954-03-03|A131675					
4a8e73ac-e12c-5aaa-897e-3c53b85766fe					Flora Sandstrom (Flora Sandstrom Wainright)	The Midwife of Pont Clery.	A277112	1957-03-04	RE258796	1985-09-23	Flora Wainright|A	Pub. abroad|1954-08-13|AIO-4629				renewed 9Nov82, RE 144-195.	
85060ef2-e1f1-f6ff-9952-cc6fac8ddd3b					Dorothea Malm.	To the castle.	A287967	1957-05-24	RE240407	1985-02-19	Dorothea Malm|A	Pub. abroad|1955-10-20|AI-4873					
6123f7f9-2c7b-3d83-195e-d0c365ba3176						Washington & Lee law review.  Vol. 14, no. 1, 1957.	B647987	1956-03-30	RE256398	1985-08-12	Washington & Lee University, School of Law|PCW						
5e76c51a-2f0d-102f-3327-c53f6a170d06						The Letters of Thomas Wolfe.  Collected & edited by Elizabeth Nowell.	A249244	1956-08-22	RE254223	1985-07-16	Paul Gitlin|PPW						
f51d3849-bd2c-2c0d-51bd-2066160e0819					Aldo DeBenedetti.	Buonanotte patrizia!	DF1029	1956-11-15	RE251079	1985-06-07	Clotilde Scalzi|W						
16f0d78f-028e-c16b-5191-20882e4e347a						Commentary.  Vol. 22, no. 6, Dec. 1956.	B628270	1956-12-07	RE235044	1985-01-04	American Jewish Committee|PCW						
1d01972c-35be-546a-d680-1aff48139728						Financial world.  Vol. 107, no. 1, Jan. 2, 1957.	B629322	1956-12-31	RE270769	1985-12-30	Financial World Partners|PWH					In notice: 1957	
1aa95316-5c78-1cff-446a-99d187408e10					Arthur David Beaty.	The Proving flight.	A267051	1957-01-02	RE257415	1985-08-16	Arthur David Beaty|A	Pub. in U. K.|1956-06-21|AIO-6671					
c048f022-bbe7-76c6-827d-92535314b318					Beverley Cross.	The Nightwalkers.	A268465	1957-01-02	RE254368	1985-07-08	Beverley Cross|A	Pub. abroad|1956-08-24|AIO-6866					
