volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
				Willard VanOrman Quine.	Mathematical logic.	A59432	1951-09-27	RE37520	1979-11-09	Willard VanOrman Quine|A	1st ed. pub.|1940-09-26|A146239					
				Robert Nash.	Living your faith.	A54025	1951-01-30	RE14023	1979-03-02	Robert Nash|A					First pub. abroad 1Nov49.	
				Mary Treadgold, illustrated by Pat Marriott.	The Mystery of The Polly Harris.	A55360	1951-05-03	RE23261	1979-01-05	Mary Treadgold|A	Pub. abroad|1949-09-12|AI-3010					
					Woman's home companion household book.  Revisions: P. F. Collier & Son Corporation, employer for hire of Henry Humphrey.	A40539	1950-01-09	RE14815	1979-01-02	Macmillan, Inc.|PWH						
					Jewish life.  Vol. 5, no. 4, Feb. 1951.	B283309	1950-01-15	RE28324	1979-07-02	Jewish Currents, Inc.|PCW						
				Jan Stransky.	East wind over Prague.	A52241|AI2994	1951-01-03|1950-01-27	RE31667	1979-05-10	Jan Stransky|A						
				Bennie C. Hall.	Voyage to Eden; a novel.	A40630	1950-02-03	RE14824	1979-03-13	Ben H. Hall|C						
				Charles Stewart.	Romantic West annual.  Vol. 1, no. 1.	AA145997	1950-02-07	RE13509	1979-01-02	B. S. Inc|PWH						
					Four farthings and a thimble.  Illustrated by Decie Merwin & Margaret J. Baker.	A42314	1950-03-29	RE27099	1979-06-18	Margaret J. Baker|A						
					The Golden ass.  Translation: Robert Graves.	A59433|AIO496	1951-09-11|1950-04-02	RE18167	1979-01-22	Robert Graves|A						
				Jane A. Ericson (Jane A. Harris), Anne M. Pittman & Marlys S. Waller (Marlys S. Swenson)	Dance a while.	A42856	1950-04-12	RE16965	1979-04-16	Jane Harris (Ericson)|W||Anne Pittman|W||Marlys Swenson|W						
				David Goodis.	Of missing persons; novel.	A43566	1950-05-03	RE23136	1979-01-02	Provident National Bank|E						
				P. F. Collier & Son Corporation.	Woman's home companion cookbook.	A44596	1950-05-18	RE14816	1979-01-02	Macmillan, Inc.|PWH						
				Catherine Drinker Bowen.	John Adams and the American Revolution.	A44185	1950-05-22	RE14560	1979-01-08	Ezra Bowen|C						
				M. D. Berlitz & Charles Frambach Berlitz, with the collaboration of the editorial staff of the Berlitz School.	Trozos y dialogos; por la junta editorial de las ediciones Berlitz.	A44813	1950-05-27	RE18242	1979-01-02	The Berlitz Schools of Languages of America, Inc.|PWH						
				James Benson Sellers.	Slavery in Alabama.	A44964	1950-05-31	RE12883	1979-01-02	Carrie A. Sellers|W						
				Margaret Saint Clair.	The Boy who predicted earthquakes.	TX159941	1950-06-08	RE23919	1979-06-12	Margaret Saint Clair|A						
				Donald Angus Cameron.	Letters from Lloyd Lewis.	A44783	1950-06-13	RE10019	1979-01-08	Donald Angus Cameron|A						
				Dirk Jan Struik.	Differential geometry.	A45435	1950-07-05	RE19799	1979-01-01	Dirk Jan Struik|A						
				James L. Rubel.	No business for a lady.	A45791	1950-07-05	RE12881	1979-01-02	James L. Rubel, Jr.|C||Jane Kuhnert|C						
				Romeyn Berry.	Stoneposts in the sunset.	A51227	1950-08-15	RE15054	1979-03-05	Century House, Inc.|PWH						
				Albert H. Baum, George E. Strehan & Joseph P. Wolff.	Basic building code.	A47597	1950-09-01	RE15902	1979-03-16	Building Officials and Code Administrators International, Inc.|PWH						
				William Davidson Geoghegan.	Varieties of Platonism in contemporary religious thought with special reference to W. R. Inge, P. E. More, A. E. Taylor, William Temple, A. N. Whitehead and George Santayana.	A63348	1950-09-30	RE24984	1979-04-05	William Davidson Geoghegan|A						
				Cecil Scott Forester.	Randall and the river of time.	A48250	1950-10-05	RE16735	1979-04-05	Dorothy E. Forester|W						
				Frideborg Carlson.	Slaeden vi drar oever backen saa hoeg.	AA172879	1950-10-05	RE12099	1979-01-29	Frideborg Carlson|A						
				Frideborg Carlson.	Saeg minns du huru vi I svunna barna aar.	AA172880	1950-10-05	RE12100	1979-01-29	Frideborg Carlson|A						
				Samuel Eliot Morison.	Breaking the Bismarck's barrier, 22 July 1942-1 May 1944.	A48845	1950-10-26	RE16734	1979-04-05	A. P. Loring|E||W. Sidney Felton|E						
				Susanne Wellek, illustre par Franz Katzer.	Paul et Marie a l'ecole.	A49542	1950-10-31	RE12716	1979-01-02	Susanne Wellek|A						
