volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
29	1A	1	1	Rufus King,	"Lethal lady. Prev. pub. in Redbook magazine, May 1947, as The Lady said ""if."""		A19238	1947-11-13	R591203	1974-11-20	Walter Young|E		revisions & additions				"R591203. Lethal lady. By Rufus King, Prev. pub. in Redbook magazine, May 1947, as The Lady said ""if."" © on revisions & additions; 13Nov47; A19238. Walter Young (E); 20Nov74; R591203."
29	1A	1	1	Roberta Courtland, pseud. of Peggy Gaddis.	Fairest of all.		A11438	1947-03-12	R592128	1974-12-06	Gramercy Publishing Company|PWH						R592128. Fairest of all. By Roberta Courtland, pseud. of Peggy Gaddis. © 12Mar47; A11438. Gramercy Publishing Company (PWH); 6Dec74; R592128.
29	1A	1	1	Donald Harold Saxton.	IBM electric punched card accounting machines, customer engineering manual of instruction, alphabetical verifier type 055.		A67043	1947-09-05	R593668	1974-12-20	International Business Machines Corporation|PWH						R593668. IBM electric punched card accounting machines, customer engineering manual of instruction, alphabetical verifier type 055. By Donald Harold Saxton. © 5Sep47; A67043. International Business Machines Corporation (PWH); 20Dec74; R593668.
29	1A	1	1	L. Sprague De Camp.	Humor in science fiction. (In Of Worlds beyond: the science of science-fiction writing)		A15696	1947-08-30	R594360	1975-01-02	L. Sprague De Camp|A						R594360. Humor in science fiction. By L. Sprague De Camp. (In Of Worlds beyond: the science of science-fiction writing) © 30Aug47; A15696. L. Sprague De Camp (A); 2Jan75; R594360.
29	1A	1	1	Philip Freund.	Easter Island.		A13534	1947-05-29	R594366	1975-01-02	Philip Freund|A						R594366. Easter Island. By Philip Freund. © 29May47; A13534. Philip Freund (A); 2Jan75; R594366.
29	1A	1	1	Edgar Rice Burroughs.	Tarzan the protector. (Tarzan, no. 0874) (In United feature comics. Dec. 05, 1947)		B5-5682	1947-12-05	R594367	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594367. Tarzan the protector. By Edgar Rice Burroughs. (Tarzan, no. 0874) (In United feature comics. Dec. 05, 1947) © 5Dec47; B5-5682. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594367.
29	1A	1	1	Edgar Rice Burroughs.	Cut into the open. (Tarzan, no. 2593) (In United feature comics, Dec. 05, 1947)		B5-5683	1947-12-05	R594368	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594368. Cut into the open. By Edgar Rice Burroughs. (Tarzan, no. 2593) (In United feature comics, Dec. 05, 1947) © 5Dec47; B5-5683. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594368.
29	1A	1	1	Edgar Rice Burroughs.	New adventure ahead. (Tarzan, no. 2594) (In United feature comics. Dec. 05, 1947)		B5-5684	1947-12-05	R594369	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594369. New adventure ahead. By Edgar Rice Burroughs. (Tarzan, no. 2594) (In United feature comics. Dec. 05, 1947) © 5Dec47; B5-5684. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594369.
29	1A	1	1	Edgar Rice Burroughs.	A Monster to be feared. (Tarzan, no. 2595) (In United feature comics, Dec. 05, 1947)		B5-5685	1947-12-05	R594370	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594370. A Monster to be feared. By Edgar Rice Burroughs. (Tarzan, no. 2595) (In United feature comics, Dec. 05, 1947) © 5Dec47; B5-5685. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594370.
29	1A	1	1	Edgar Rice Burroughs.	Charging to the fight. (Tarzan, no. 2596) (In United feature comics, Dec. 05. 1947)		B5-5686	1947-12-05	R594371	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594371. Charging to the fight. By Edgar Rice Burroughs. (Tarzan, no. 2596) (In United feature comics, Dec. 05. 1947) © 5Dec47; B5-5686. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594371.
29	1A	1	1	Edgar Rice Burroughs.	Danger rides hard. (Tarzan, no. 2597) (In United feature comics, Dec. 05, 1947)		B5-5687	1947-12-05	R594372	1975-03-02	Edgar Rice Burroughs, Inc.|PWH						R594372. Danger rides hard. By Edgar Rice Burroughs. (Tarzan, no. 2597) (In United feature comics, Dec. 05, 1947) © 5Dec47; B5-5687. Edgar Rice Burroughs, Inc. (PWH); 2Mar75; R594372.
29	1A	1	2	Edgar Rice Burroughs.	Demanding surrender. (Tarzan, no. 2598) (In United feature comics, Dec. 5, 1947)		B5-5688	1947-12-05	R594373	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594373. Demanding surrender. By Edgar Rice Burroughs. (Tarzan, no. 2598) (In United feature comics, Dec. 5, 1947) © 5Dec47; B5-5688. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594373.
29	1A	1	2	Edgar Rice Burroughs.	To the village of the snake-men. (Tarzan, no. 2599) (In United feature comics, Dec. 12, 1947)		B5-5690	1947-12-12	R594374	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594374. To the village of the snake-men. By Edgar Rice Burroughs. (Tarzan, no. 2599) (In United feature comics, Dec. 12, 1947) © 12Dec47; B5-5690. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594374.
29	1A	1	2	Edgar Rice Burroughs.	Through the gloomy swampland. (Tarzan, no. 2600) (In United feature comics, Dec. 12, 1947)		B5-5691	1947-12-12	R594375	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594375. Through the gloomy swampland. By Edgar Rice Burroughs. (Tarzan, no. 2600) (In United feature comics, Dec. 12, 1947) © 12Dec47; B5-5691. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594375.
29	1A	1	2	Edgar Rice Burroughs.	The Search for Jana goes on. (Tarzan, no. 2601) (In United feature comics, Dec. 12, 1947)		B5-5692	1947-12-12	R594376	1975-01-02	Edgar Rice Burroughs, Inc.|PWH						R594376. The Search for Jana goes on. By Edgar Rice Burroughs. (Tarzan, no. 2601) (In United feature comics, Dec. 12, 1947) © 12Dec47; B5-5692. Edgar Rice Burroughs, Inc. (PWH); 2Jan75; R594376.
