volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
14	1A	1	1		ABBOTT NEW YORK DIGEST. Consolidated ed. May 1933 cumulative quarterly pamphlet.		A63211	1933-05-19	R259913	1960-07-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST. Consolidated ed. May 1933 cumulative quarterly pamphlet. © 19May33; A63211. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 5Jul60; R259913.
14	1A	1	1		ABBOTT NEW YORK DIGEST. Consolidated ed. 1932 cumulative annual pocket parts for v.1-40.		A60572	1933-02-16	R255149	1960-04-04	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST. Consolidated ed. 1932 cumulative annual pocket parts for v.1-40. © 16Feb33; A60572. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 4Apr60; R255149.
14	1A	1	1		ABBOTT NEW YORK DIGEST. Consolidated ed. Nov. 1932. Cumulative quarterly pamphlet.		A58425	1932-11-07	R249068	1960-01-06	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST. Consolidated ed. Nov. 1932. Cumulative quarterly pamphlet. © 7Nov32; A58425. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 6Jan60; R249068.
14	1A	1	1	ABDULLAH, ACHMED.	A romantic young man.		A53244	1932-07-21	R254722	1960-04-04	Rosemary Dolan Coney|W						ABDULLAH, ACHMED. A romantic young man. © 21Jul32; A53244. Rosemary Dolan Coney (W); 4Apr60; R254722.
14	1A	1	1	ACEVEDO, HERMINIA.	Leamos y juguemos, por Herminia Acevedo & Angela Luisa Munoz de Rodrigiez.		A62018	1933-02-21	R256626	1960-05-05	Herminia Acevedo|A						ACEVEDO, HERMINIA. Leamos y juguemos, por Herminia Acevedo & Angela Luisa Munoz de Rodrigiez. © 21Feb33; A62018. Herminia Acevedo (A); 5May60; R256626.
14	1A	1	1	ACKERLEY, J. R.	Hindoo holiday: an Indian Journal.		AI-16453	1932-04-07	R252737	1960-02-26	J. R. Ackerley|A						ACKERLEY, J. R. Hindoo holiday: an Indian Journal. © 7Apr32, AI-16453; 8Jul32, A52973. J. R. Ackerley (A); 26Feb60; R252737.
14	1A	1	1	ACKERLEY, J. R.	Hindoo holiday: an Indian Journal.		A52973	1932-07-08	R252737	1960-02-26	J. R. Ackerley|A						ACKERLEY, J. R. Hindoo holiday: an Indian Journal. © 7Apr32, AI-16453; 8Jul32, A52973. J. R. Ackerley (A); 26Feb60; R252737.
14	1A	1	1	ADAMS, CARRIE B.	Come, gracious spirit. (In The Choir herald, April 1932)		B146931	1932-02-11	R250586	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK						ADAMS, CARRIE B. Come, gracious spirit. (In The Choir herald, April 1932) © 11Feb32; B146931. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250586.
14	1A	1	2	ADAMS, CARRIE B.	Jesus, lover of my soul. (In The Choir herald, Sept. 1932)		B163322	1932-08-03	R250596	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK						ADAMS, CARRIE B. Jesus, lover of my soul. (In The Choir herald, Sept. 1932) © 3Aug32; B163322. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250596.
14	1A	1	2	ADAMS, CARRIE B.	The Lord God will come. (In The Choir herald, Nov. 1932)		B168577	1932-09-12	R250600	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK						ADAMS, CARRIE B. The Lord God will come. (In The Choir herald, Nov. 1932) © 12Sep32; B168577. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250600.
14	1A	1	2	ADAMS, CARRIE B.	The Lord is my rock. (In The Choir herald, June 1932)		B155264	1932-04-15	R250589	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK						ADAMS, CARRIE B. The Lord is my rock. (In The Choir herald, June 1932) © 15Apr32; B155264. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250589.
14	1A	1	2	ADAMS, HERBERT.	Golf house murder.		A62257	1933-03-14	R258651	1960-06-22	Herbert Adams|A						ADAMS, HERBERT. Golf house murder. © 14Mar33; A62257. Herbert Adams (A); 22Jun60; R258651.
14	1A	1	2	ADAMS, JULIA D.	Remember and forget. Illustrated by Mabel Pugh.		A54451	1932-08-16	R250345	1960-01-20	Julia D. Adams|A						ADAMS, JULIA D. Remember and forget. Illustrated by Mabel Pugh. © 16Aug32; A54451. Julia D. Adams (A); 20Jan60; R250345.
14	1A	1	2	AGUADO, LOLA.	Music development for little folks; a pre-instrumental course. Piano. Music by Jan Sadlo, Illustrated by Edwina Schaeffer.		AA110313	1932-11-25	R252948	1960-02-29	Art Publication Society|PWH						AGUADO, LOLA. Music development for little folks; a pre-instrumental course. Piano. Music by Jan Sadlo, Illustrated by Edwina Schaeffer. © 25Nov32; AA110313. Art Publication Society (PWH); 29Feb60; R252948.
14	1A	1	2	AGUILARD, ANDRE.	Dalila, by Andre Amandy, pseud.		AF18846	1932-09-01	R250407	1960-01-19	Mme Andre Armandy, nee Berthe Mourlon|W						AGUILARD, ANDRE. Dalila, by Andre Amandy, pseud. © 1Sep32; AF18846. Mme Andre Armandy, nee Berthe Mourlon (W); 19Jan60; R250407.
14	1A	1	2	AGUILARD, ANDRE.	Le dictateur des sables, by Andre Armandy, pseud.		AF18847	1932-09-24	R250408	1960-01-19	Mme Andre Armandy, nee Berthe Mourlon|W						AGUILARD, ANDRE. Le dictateur des sables, by Andre Armandy, pseud. © 24Sep32; AF18847. Mme Andre Armandy, nee Berthe Mourlon (W); 19Jan60; R250408.
14	1A	1	3	AIKEN, CONRAD.	This image or another, this quick choosing. (In The Nation, Dec. 28, 1932)		B177286	1932-12-21	R249590	1959-12-27	Conrad Aiken|A						AIKEN, CONRAD. This image or another, this quick choosing. (In The Nation, Dec. 28, 1932) © 21Dec32; B177286. Conrad Aiken (A); 27Dec59; R249590.
