entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
8a7bc834-21ef-540f-97df-f0c2c039f238	25	1	1	1541		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.1-42. 1943 cumulative annual pocket part.	AA443544	1943-11-23	R501767	1971-03-08	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH					ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.1-42. 1943 cumulative annual pocket part. © 23Nov43; AA443544. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 8Mar71; R501767.
05145fd9-be65-5703-a64d-eabdf3d08452	25	1	1	1541	ABELL, AARON IGNATIUS.	The urban impact on American Protestantism, 1865-1900.	A176130	1942-10-07	R498122	1971-01-07	President & Fellows of Harvard College|PWH					ABELL, AARON IGNATIUS. The urban impact on American Protestantism, 1865-1900. © 7Oct42; A176130. President & Fellows of Harvard College (PWH); 7Jan71; R498122.
845946a6-c0cb-5755-9f76-10f9d93decda	25	1	1	1541	ACADEMY OF POLITICAL SCIENCE, NEW YORK.	Mobilization of manpower and pressing the fight for freedom. Edited by John A. Krout. (Proceedings of the Academy of Political Science, May 1943)	AA429409	1943-05-14	R501627	1971-03-11	Academy of Political Science|PWH					ACADEMY OF POLITICAL SCIENCE, NEW YORK. Mobilization of manpower and pressing the fight for freedom. Edited by John A. Krout. (Proceedings of the Academy of Political Science, May 1943) © 14May43; AA429409. Academy of Political Science (PWH); 11Mar71; R501627.
ec727e71-a486-5cdc-a22b-b5a6bb6db346	25	1	1	1541	ACADEMY OF POLITICAL SCIENCE, NEW YORK.	The problems of total war and roads to victory. Edited by John A. Krout. (Proceedings of the Academy of Political Science, January 1944)	AA444670	1943-12-21	R501628	1971-03-11	Academy of Political Science|PWH					ACADEMY OF POLITICAL SCIENCE, NEW YORK. The problems of total war and roads to victory. Edited by John A. Krout. (Proceedings of the Academy of Political Science, January 1944) © 21Dec43; AA444670. Academy of Political Science (PWH); 11Mar71; R501628.
944e136f-c840-5ab8-ab6a-e3e29d30b5c6	25	1	1	1541	ACCORDION MUSIC PUB. CO.	Ampco 12 to 48 bass method for accordion.	AA455135	1944-04-12	R504982	1971-05-03	Accordion Music Pub. Co.|PWH					ACCORDION MUSIC PUB. CO. Ampco 12 to 48 bass method for accordion. © 12Apr44; AA455135. Accordion Music Pub. Co. (PWH); 3May71; R504982.
d6139fe0-25ed-5a02-8308-2414607ee332	25	1	1	1541	ACCORDION MUSIC PUB. CO.	First steps to the accordion, 12 bass method.	AA458865	1944-05-27	R506903	1971-06-01	Accordion Music Pub. Co.|PWH					ACCORDION MUSIC PUB. CO. First steps to the accordion, 12 bass method. © 27May44; AA458865. Accordion Music Pub. Co. (PWH); 1Jun71; R506903.
1a4eb0fa-2f4a-5dca-933c-37068f75cd0f	25	1	1	1541	ACKER, HELEN.	Three boys of old Russia. Illustrated by Zhenya Gay.	A179509	1944-03-22	R508102	1971-06-25	Arthur B. Anderson|Wr of H. Acker					ACKER, HELEN. Three boys of old Russia. Illustrated by Zhenya Gay. © 22Mar44; A179509. Arthur B. Anderson (Wr of H. Acker); 25Jun71; R508102.
9dcf952b-7217-5907-9020-99a5dbc0cc52	25	1	1	1541	ADAMS, CLEVE F.	The crooking finger.	A180175	1944-04-19	R504826	1971-04-22	Vera G. Adams|W					ADAMS, CLEVE F. The crooking finger. © 19Apr44; A180175. Vera G. Adams (W); 22Apr71; R504826.
3966eccd-eab4-56d1-9e75-16b2b5e2b849	25	1	1	1541	ADAMS, HAMPTON.	Christian answers to war questions.	A171759	1943-03-05	R499172	1971-01-22	Hampton Adams|A					ADAMS, HAMPTON. Christian answers to war questions. © 5Mar43; A171759. Hampton Adams (A); 22Jan71; R499172.
5b5460ce-2fdf-54c3-bb6e-eb808391fd5f	25	1	1	1541	ADAMS, NICHOLSON B.	The heritage of Spain; an introduction to Spanish civilization.	A177175	1943-11-23	R504625	1971-04-16	Nicholson B. Adams|A					ADAMS, NICHOLSON B. The heritage of Spain; an introduction to Spanish civilization. © 23Nov43; A177175. Nicholson B. Adams (A); 16Apr71; R504625.
8255a66c-b27e-5b7a-a0a7-edc774acb9b7	25	1	1	1541	ADAMS, SAMUEL HOPKINS.	Canal town.	A180295	1944-04-24	R507192	1971-06-18	Hester H. Adams & Katherine A. Adell|C					ADAMS, SAMUEL HOPKINS. Canal town. © 24Apr44; A180295. Hester H. Adams & Katherine A. Adell (C); 18Jun71; R507192.
a246df3b-1645-5c73-9a79-89ba01d32067	25	1	1	1541	ADAMS, VEOTTA MCKINLEY.	Captain Joe and the eskimo. Pictures by Barney Tobey.	A175744	1943-09-15	R500327	1971-02-03	Veotta McKinley Adams|A					ADAMS, VEOTTA MCKINLEY. Captain Joe and the eskimo. Pictures by Barney Tobey. © 15Sep43; A175744. Veotta McKinley Adams (A); 3Feb71; R500327.
b59cae4a-8481-51f6-9f60-db0d1aad23d5	25	1	1	1541	ADDIS, HUGH.	Night over the wood.	A171391	1943-02-23	R499843	1971-02-05	Hugh Addis|A					ADDIS, HUGH. Night over the wood. © 23Feb43; A171391. Hugh Addis (A); 5Feb71; R499843.
5b223c1e-e867-5ccc-93af-890ffb4a2ec1	25	1	1	1541	ADLER, HELEN.	Fussbunny, by Helen Evers & Alf Evers.	A180213	1944-03-13	R504650	1971-04-19	Helen Adler, formerly Helen Evers, & Alf Evers|A					ADLER, HELEN. Fussbunny, by Helen Evers & Alf Evers. © 13Mar44; A180213. Helen Adler, formerly Helen Evers, & Alf Evers (A); 19Apr71; R504650.
744a1f12-759b-537e-89b7-09c0cd47aa7b	25	1	1	1541	ADLER, HELEN.	Little Bobo and his blue jacket, by Tony Brice, pseud.	A180214	1944-03-14	R504651	1971-04-19	Helen Adler|Tony Brice|||A					ADLER, HELEN. Little Bobo and his blue jacket, by Tony Brice, pseud. © 14Mar44; A180214. Helen Adler (Tony Brice) (A); 19Apr71; R504651.
552cbdb4-dc5c-5324-a564-c9be686b33bf	25	1	1	1541	ADLER, HELEN.	Playboy penguin, by Helen Evers & Alf Evers.	A176654	1943-10-19	R504646	1971-04-19	Helen Adler, formerly Helen Evers, & Alf Evers|A					ADLER, HELEN. Playboy penguin, by Helen Evers & Alf Evers. © 19Oct43; A176654. Helen Adler, formerly Helen Evers, & Alf Evers (A); 19Apr71; R504646.
55add2d1-8779-5fb3-88e9-3b27859f833e	25	1	1	1541	ADLER, MORTIMER J.	How to think about war and peace.	A178924	1944-02-11	R505108	1971-04-26	Mortimer J. Adler|A					ADLER, MORTIMER J. How to think about war and peace. © 11Feb44; A178924. Mortimer J. Adler (A); 26Apr71; R505108.
2fe10abf-f597-5644-94b6-71190c59faed	25	1	1	1541	ADSHEAD, GLADYS L.	Casco. Pictures by Else Bostleman.	A172424	1943-04-15	R499017	1971-02-03	Gladys Adshead|A					ADSHEAD, GLADYS L. Casco. Pictures by Else Bostleman. © 15Apr43; A172424. Gladys Adshead (A); 3Feb71; R499017.
c1490a9a-2300-59cd-9fef-39e490171ed0	25	1	1	1541	AHRENS, MAURICE R.	Teachers' manual and key for Ahrens, Bush, and Easley's Living chemistry and Laboratory problems for Living chemistry.	AA444233	1943-09-30	R498448	1971-01-13	Maurice R. Ahrens, Norris F. Bush & Ray K. Easley|A					AHRENS, MAURICE R. Teachers' manual and key for Ahrens, Bush, and Easley's Living chemistry and Laboratory problems for Living chemistry. © 30Sep43; AA444233. Maurice R. Ahrens, Norris F. Bush & Ray K. Easley (A); 13Jan71; R498448.
9d23cf2c-8047-54b0-b407-b9b76ac2b24f	25	1	1	1541		AIR TRAILS MODEL ANNUAL FOR 1944. William Winter, editor.	AA444399	1943-12-17	R498015	1971-01-06	Conde Nast Publications, Inc.|PWH					AIR TRAILS MODEL ANNUAL FOR 1944. William Winter, editor. © 17Dec43; AA444399. Conde Nast Publications, Inc. (PWH); 6Jan71; R498015.
