volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	publ	note	full_text
				Louis A. Wolfanger.	Denoyer's student atlas|World soils.  No. P79a.	F28355	1960-04-13	RE389813	1988-07-13	Rand McNally & Company|PWH					Prev. pub. as part of Denoyer's student atlas, 1Dec49, no. A42375.		
					The American Legion magazine.  Vol. 68, no. 4, Apr. 1960.	B830236	1958-05-14	RE381071	1988-03-15	American Legion|PCW							
					Mammoth crossword puzzles.  No. 13.	A455868	1959-06-30	RE369512	1988-04-11	Diamandis Communications, Inc.|PCW							
					Beauty ideas.  No. 103.	A466375	1959-07-29	RE369513	1988-04-11	Diamandis Communications, Inc.|PCW							
				Andre Norton, pseud. of Alice Mary Norton.	Secret of the lost race.	A408101	1959-08-14	RE383506	1988-04-14	Alice Mary Norton|A							
					Clinical research.  Vol. 8, no. 1, Jan. 1960.	B810035	1959-12-23	RE381769	1988-04-25	Grune & Stratton, Inc.|PCW						In notice: 1960	
					The New York times index.  Vol. 47, no. 22, Nov. 16-30, 1959.  Editor: Joseph C. Gephart.	A426638	1959-12-24	RE368152	1988-01-07	New York Times Company|PWH							
					Time; the weekly newsmagazine (incorporating Literary digest)  Vol. 75, no. 1.	B812451	1959-12-29	RE367762	1988-01-27	Time, Inc.|PCW							
				David Mace & Vera Mace.	Marriage: East and West.|Your marriage is not like this	A431163	1960-02-18	RE378110	1988-02-26	David Mace|A||Vera Mace|A					Prev. pub. abroad as a serial entitled Your marriage is not like this, 25Nov59, AI-6440; 2Dec59, AI-6473 et al.; renewed 23Dec59, RE 331-443.		
					The Winston dictionary for schools.  Edited by John A. Darden.	A423880	1960-01-01	RE393796	1988-08-26	Holt, Rinehart and Winston, Inc.|PWH||Dow Hugh Darden|E							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Come with me.	A423881	1960-01-01	RE394234	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows, Mary Elisabth Coleman, and one other.	Away we go.	A423882	1960-01-01	RE394235	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Friends all about.	A423883	1960-01-01	RE394236	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	People on parade.	A423884	1960-01-01	RE394237	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Millard H. Black.	Across the valley.	A423886	1960-01-01	RE394238	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Barbara Leader, Cyrus H. Maxwell, Pattric Ruth O'Keefe.	Adventures in living|Junior health horizons.	A423887	1960-01-01	RE393797	1988-08-26	Barbara Leader|A||Mattie S. Maxwell|W							
				Russell G. Stauffer, Alvina Treut Burrows & Doris C. Jackson.	American English.	A423888	1960-01-01	RE394239	1988-09-06	Russell G. Stauffer|A||Doris C. Jackson|A||Alvina Treut Burrows|A							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Mary Sue White.	From head to toe.	A423889	1960-01-01	RE393798	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Mary Sue White.	Side by side.	A423890	1960-01-01	RE393799	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	How we grow.	A423891	1960-01-01	RE393800	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	Bigger and better.	A423892	1960-01-01	RE393801	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Louise Zimmer.	Getting acquainted.	A423893	1960-01-01	RE393802	1988-08-26	Mattie S. Maxwell|W||Dorothy Zimmer|NK							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	Knowing yourself.	A423894	1960-01-01	RE393803	1988-08-26	Mattie S. Maxwell|W							
				Harley P. Milstead.	New Jersey geography and history.	A423895	1960-01-01	RE404721	1988-12-05	Harley P. Milstead|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Come here.	A423896	1960-01-01	RE394226	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows, Mary Elisabeth Coleman, and one other.	Stop and look.	A423897	1960-01-01	RE394240	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabeth Coleman.	Go up.	A423898	1960-01-01	RE394241	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for Friends all about.	A423899	1960-01-01	RE394242	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Elda L. Merton & Leo J. Brueckner.	Ready to begin numbers.	A423900	1960-01-01	RE394243	1988-09-06	Richard G. Brueckner|C							
				Elda L. Merton & Leo J. Brueckner.	Using more numbers.	A423901	1960-01-01	RE394244	1988-09-06	Richard G. Brueckner|C							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Study book for Come here, Stop and look, Go-up.	A423902	1960-01-01	RE394227	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Come withme|Studybook for Come with me.	A423903	1960-01-01	RE394245	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for Away we go.	A423904	1960-01-01	RE394246	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for People on parade.	A423905	1960-01-01	RE394247	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer & Alvina Treut Burrows.	Ready to go.	A423906	1960-01-01	RE394248	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer & Alvina Treut Burrows.	Ready to read.	A423907	1960-01-01	RE394249	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Elisabeth Hamblen Vazquez.	American English.  Book 2.	A423908	1960-01-01	RE394271	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Elisabeth Hamblen Vazquez.	American English.  Book 1.	A423909	1960-01-01	RE394270	1988-09-06	Treut Burrows|A							
				Carolyn Keene.	The Clue in the old stagecoach.	A427027	1960-01-01	RE383404	1988-05-06	Simon & Schuster, Inc.|PWH							
				Victor Appleton II.	Tom Swift and his spectromarine selector.	A427028	1960-01-01	RE383405	1988-05-06	Simon & Schuster, Inc.|PWH							
				Franklin W. Dixon.	The mystery of the Chinese junk.	A427029	1960-01-01	RE383406	1988-05-06	Simon & Schuster, Inc.|PWH							
					Advance California reports.  Vol. 21, no. 1.	A431670	1960-01-01	RE394442	1988-09-01	Bancroft-Whitney Company|PWH							
				James Ballou Cook (Andy Razaf)	Finding list of vocal music, 1960.	A434668	1960-01-01	RE397969	1988-01-05	Alicia Razaf Georgiade|W							
				Antoine Dominique, pseud. of Dominique Ponchardier.	Le Manouche.	AFO29805	1960-01-01	RE390097	1988-07-28	Marie-Claire Rollin|W							
				Benjamin Peret.	Anthologie des mythes, legendes, et contes populaires d'Amerique.	AFO29960	1960-01-01	RE397457	1988-10-07	Association des Amies de Benjamin Peret|E							
					Pearls of wisdom.  Vol. 3, no. 1, Jan. 1, 1960.	B211042	1960-01-01	RE382611	1988-05-09								
					Insurance buyer's guide.  Vol. 3, no. 2.	B440960	1960-01-01	RE374797	1988-02-04	Callaghan & Company|PWH							
					Chicago daily tribune.  Vol. 119, no. 1, Jan. 1, 1960.	B810924	1960-01-01	RE373311	1988-01-25	Chicago Tribune Company|PCW							
					The New York times.  Vol. 109, no. 37232, Jan. 1, 1960.	B811040	1960-01-01	RE368443	1988-01-11	New York Times Company|PCW							
					Daily news.  Vol. 41, no. 163, Jan. 1, 1960.	B811057	1960-01-01	RE371918	1988-01-19	New York News, Inc.|PWH							
					Little Orphan Annie.	B811057	1960-01-01	RE411030	1988-12-30	Tribune Media Services, Inc.|PWH							
					Organic gardening and farming.  Vol. 7, no. 1, Jan. 1960.	B811681	1960-01-01	RE404696	1988-12-15	RodaLe Press, Inc.|PWH							
					Prevention.  Vol. 12, no. 1, Jan. 1960.	B811712	1960-01-01	RE404697	1988-12-15	RodaLe Press, Inc.|PWH							
					The Washington post and times herald.  Vol. 83, no. 27, Jan. 1, 1960.	B812415	1960-01-01	RE401929	1988-12-08	Washington Post Company|PCW							
					The Congressional digest.  Vol. 39, no. 1, Jan. 1960.	B813080	1960-01-01	RE369404	1988-01-04	Congressional Digest Corporation|PCW							
					New Jersey reports and New Jersey Superior Court reports; index, synopsis, key number character, and syllabi.  Vol. 58, no. 1, Jan. 1, 1960.	B814087	1960-01-01	RE379301	1988-04-04	West Publishing Company|PWH							
					Scouting.  Vol. 48, no. 1, Jan. 1960.	B818833	1960-01-01	RE374895	1988-04-08	Boy Scouts of America|PCW							
					Li'l Abner; comic strip.  Created by Alfred G. Capp as an employee for hire of United Feature Syndicate, Inc.	B822103	1960-01-01	RE397667	1988-10-14	Capp Enterprises, Inc.|PWH							
					Dissent.  Vol. 7, no. 1, winter 1960.	B824717	1960-01-01	RE373996	1988-02-02	Dissent Publishing Association|PWH							
				Norman Mailer.	A Program for the nation.	B824717	1960-01-01	RE412672	1988-12-30	Norman Mailer|A							
					The Good news.  Vol. 9, no. 1, Jan. 1960.	B877041	1960-01-01	RE374668	1988-01-25	Worldwide Church of God|PWH							
					Applied photography.  No. 14.	B889660	1960-01-01	RE411314	1988-12-21	Eastman Kodak Company|PWH							
					Tarzan.  No. 6373.	BB13458	1960-01-01	RE384738	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 6374.	BB13459	1960-01-01	RE384739	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 6375.	BB13460	1960-01-01	RE384740	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 6376.	BB13461	1960-01-01	RE384741	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 6377.	BB13462	1960-01-01	RE384742	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 6378.	BB13463	1960-01-01	RE384743	1988-05-23	Edgar Rice Burroughs, Inc.|PWH							
					Tarzan.  No. 1504.	BB13464	1960-01-01	RE388332	1988-07-25	Edgar Rice Burroughs, Inc.|PWH							
					Big pictures to accompany Ready to go.  Ill.: Russell G. Stauffer.	K57942	1960-01-01	RE394233	1988-09-06	Russell G. Stauffer|A							
				L. Ron Hubbard.	HCO policy letter of January 1, 1960, Administrative procedure for reducing overts.	TX2239005	1960-01-01	RE405145	1988-12-06	Mary Sue Hubbard|W							
				Alice Mercer Lunt.	Jeanette's first term (1960)	UCC work	1960-01-01	RE365159	1988-03-14	National Westminster Bank, P.L.C.|E							
				Noel Streatfeild.	Look at the circus; a novel for children.	UCC work	1960-01-01	RE378107	1988-03-08	W. H. C. Streatfeild|E							
				Alex Stuart, pseud. of Vivian Stuart.	On her majesty's orders.|The Star of Oudh.	UCC work	1960-01-01	RE400364	1988-06-16	Valerie Amberton|C							
					To live in danger.  Text: Bryan Magee.	UCC work	1960-01-01	RE398015	1988-10-25	Bryan Magee|A							
					Drina dances again.  Text: Jean Estoril, pseud. of Mabel Esther Allan.	UCC work	1960-01-01	RE403204	1988-10-03	Mabel Esther Allan|A							
				Frances Lang, pseud. of Winifred Langford Mantle.	Marriage of masks; a book.	UCC work	1960-01-01	RE403284	1988-11-30	Nita Lily Langford Mantle|E							
				Noel Streatfeild.	New town; book.	UCC work	1960-01-01	RE412578	1988-11-21	W. H. C. Streatfeild|E							
				Clive Staples Lewis.	A Review of English literature, Jan. 1, 1960|Metre.	UCC work	1960-01-01	RE402122	1988-12-05	Arthur Owen Barfield|E							
				Charles Hardinge Drage.	William King's profession.	UCC work	1960-01-01	RE665065	1988-12-19	Charles Lovell Drage|C							
				Vernon Bartlett.	And now tomorrow.	UCC work	1960-01-01	RE403980	1988-12-28	Gerald Pollinger|E							
				Malcolm Saville.	Sea witch comes home.	UCC work	1960-01-01	RE403981	1988-12-28	J. D. Saville|C							
				Malcolm Saville.	Susan Bill and the Bright Star Circus.	UCC work	1960-01-01	RE403982	1988-12-28	J. D. Saville|C							
				James Aldridge.	Gold and sand.	UCC work	1960-01-01	RE402125	1988-12-05	James Aldridge|A							
				Simon Troy, pseud. of Thurman Warriner.	Drunkard's end.	UCC work	1960-01-01	RE413880	1988-12-19	John Gregory Warriner|C							
					Love in a cloud.  Text: Lucy Walker, pseud. of Dorothy Lucy Sanders.	UCC work	1960-01-01	RE400782	1988-12-02	Jonathan William Sanders|C||Colin Creeth Sanders|C							
					The Loving heart.  Text: Lucy Walker, pseud. of Dorothy Lucy Sanders.	UCC work	1960-01-01	RE400783	1988-12-02	Jonathan William Sanders|C||Colin Creeth Sanders|C							
					Shakespeare and the Rose of love.  Text: John Vyvyan.	UCC work	1960-01-01	RE401509	1988-12-30	Michael Anthony Vernon|C							
					A Kind of loving.  Text: Stan Barstow.	UCC work	1960-01-01	RE469619	1988-12-30	Stan Barstow|A							
					Bunter keeps it dark.  Text: Frank Richards.	UCC work	1960-01-01	RE434246	1988-12-27	Una Hamilton-Wright|E							
					Bunter, the bad lad.  Text: Frank Richards.	UCC work	1960-01-01	RE434247	1988-12-27	Una Hamilton-Wright|E							
				Angel Cabrillo, George E. Starnes & Alden R. Hefler.	Spanish, a first course.	A423783	1960-01-02	RE402768	1988-11-16	Beverly Brown Donovan|E||George E. Starnes|A||Alden R. Hefler|A							
				Thomas Henry Donald Mahoney.	Edmund Burke and Ireland.	A424404	1960-01-02	RE391758	1988-08-09	Thomas Henry Mahoney|A							
				Richard Earl Caves.	Trade and economic structure; models and methods.	A424431	1960-01-02	RE391759	1988-08-09	Richard E. Caves|A							
				Willard Thorp.	American writing in the twentieth century.	A424433	1960-01-02	RE391760	1988-08-09	Willard Thorp|A							
				T. Lynn Smith.	Fundamentals of population study.	A425694	1960-01-02	RE411442	1988-12-28	Clara Floyd Gehan|E							
					The World Book encyclopedia.	A426487	1960-01-02	RE386744	1988-06-16	World Book, Inc.|PWH							
				Leila T. Ammerman.	Abingdon Easter programs.  No. P-2825.	A426988	1960-01-02	RE411995	1988-12-30	Abingdon Press|PWH							
				L. W. Singer Company, Inc., employer for hire of Marjorie Pratt and Mary Meighen.	Teacher's manual, Story wagon and story time.	A427590	1960-01-02	RE395176	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Marjorie Pratt and Mary Meighen.	Teacher's manual, Story train.	A427591	1960-01-02	RE395177	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Marjorie Pratt and Mary Meighen.	Story wagon.	A427592	1960-01-02	RE395178	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Marjorie Pratt and Mary Meighen.	Story train.	A427593	1960-01-02	RE395179	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Story carnival.	A427594	1960-01-02	RE395180	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Teacher's manual, Story carnival.	A427595	1960-01-02	RE395181	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Teacher's manual Across the blue bridge.	A427596	1960-01-02	RE395182	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Teacher's manual Along the sunshine trail.	A427597	1960-01-02	RE395183	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Across the blue brdige.	A427598	1960-01-02	RE395184	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Along the sunshine trail.	A427599	1960-01-02	RE395185	1988-09-16	Random House, Inc.|PWH							
				Daniel R. Miller, Guy E. Swanson.	Inner conflict and defense.	A429085	1960-01-02	RE393170	1988-08-15	Daniel R. Miller|A||Guy E. Swanson|A							
				L. W. Singer Company, Inc., employer for hire of Mrs. Floy DeLancey and William Iverson.	Story time.	A430278	1960-01-02	RE395186	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Virgil S. Mallory, Kenneth C. Skeen, Bruce E. Meserve.	General mathematics.	A430296	1960-01-02	RE395187	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of George Willard Frasier, Helen Dolman MacCracken, Donald Gilmore Decker.	Our scientific world.	A430298	1960-01-02	RE395189	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of George Willard Frasier, Helen Dolman MacCracken, Donald Gilmore Decker.	Our scientific needs.	A430420	1960-01-02	RE395190	1988-09-16	Random House, Inc.|PWH							
				the L. W. Singer Company, Inc. as employer for hire of Maude Ellsworth and Michael F. Andrews.	A Teacher's guide--Growing with art.  No. 8.	A431734	1960-01-02	RE403823	1988-12-02	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 1.	A431736	1960-01-02	RE395192	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 2.	A431737	1960-01-02	RE395193	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 3.	A431738	1960-01-02	RE395194	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 4.	A431739	1960-01-02	RE395195	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 5.	A431740	1960-01-02	RE395196	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 6.	A431741	1960-01-02	RE395197	1988-09-16	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 7.	A431742	1960-01-02	RE395198	1988-09-16	Random House, Inc.|PWH							
				the L. W. Singer Company, Inc. as employer for hire of Maude Ellsworth and Michael F. Andrews.	Growing with art.  No. 8.	A431743	1960-01-02	RE403822	1988-12-02	Random House, Inc.|PWH							
				L. W. Singer Company, Inc., employer for hire of J. Kenner Agnew.	Today's journalism for today's schools.	A431744	1960-01-02	RE395199	1988-09-16	Random House, Inc.|PWH							
				Charles Williams, pseud. of James Lincoln Collier.	Fires of youth.	A818333	1960-01-02	RE396238	1988-09-26	James L. Collier|A							
				Dorothy Clewes.	The Lost tower treasure.	AF17651	1960-01-02	RE388181	1988-06-30	Dorothy Clewes|A							
					Chicago daily tribune.  Vol. 119, no. 2, Jan. 2, 1960.	B810925	1960-01-02	RE373312	1988-01-25	Chicago Tribune Company|PCW							
					The Christian Science monitor.  Vol. 52, no. 31, Jan. 2, 1960.	B810932	1960-01-02	RE365701	1988-01-07	Christian Science Publishing Society|PWH							
					The New York times.  Vol. 109, no. 37233, Jan. 2, 1960.	B811041	1960-01-02	RE368444	1988-01-11	New York Times Company|PCW							
					Daily news.  Vol. 41, no. 164, Jan. 2, 1960.	B811058	1960-01-02	RE371919	1988-01-19	New York News, Inc.|PWH							
					Little Orphan Annie.	B811058	1960-01-02	RE411031	1988-12-30	Tribune Media Services, Inc.|PWH							
				Henry P. Lankenau.	Cheers.  Vol. 7, no. 4, Jan. 1960.	B811456	1960-01-02	RE410043	1988-12-20	Marvel Entertainment Group, Inc.|PCW							
					Barron's; national business & financial weekly.  Vol. 40, no. 1, Jan. 4, 1960.	B812147	1960-01-02	RE368913	1988-01-13	Dow Jones & Company, Inc.|PCW							
					The Washington post and times herald.  Vol. 83, no. 28, Jan. 2, 1960.	B812416	1960-01-02	RE401930	1988-12-08	Washington Post Company|PCW							
					Poetry.  Vol. 95, no. 4, Jan. 1960.	B815416	1960-01-02	RE370860	1988-01-11	Modern Poetry Association|PCW							
					Los Angeles times.  Vol. 79, Jan. 3, 1960.	B816666	1960-01-02	RE402930	1988-05-27	Times-Mirror Company|PCW							
					Audio.  Vol. 44, no. 1.	B817007	1960-01-02	RE369516	1988-04-11	Diamandis Communications, Inc.|PCW							
					Keyboard Jr.  Vol. 18, no. 4, Jan. 1960.	B859991	1960-01-02	RE404065	1988-12-08	Key Educational Systems Corporation|PCW							
					Young Keyboard Jr.  Vol. 12, no. 4, Jan. 1960.	B859999	1960-01-02	RE404070	1988-12-08	Key Educational Systems Corporation|PCW							
				Cartoons-of-the-Month & Rodney DeSarro.	Cartoons-of-the-month.  No. 60-1--60-18.	K58060	1960-01-02	RE410174	1988-12-28								
				L. Ron Hubbard.	HCOB2 January 1960, Has certificates.	TX1169330	1960-01-02	RE405111	1988-12-06	Mary Sue Hubbard|W							
					The Novis fast marking mental ability test.  Test form B.  Text: L. Ron Hubbard.	TX2499123	1960-01-02	RE412984	1988-12-19	Mary Sue Hubbard|W							
					The Novis fast marking mental ability test.  Test form A.  Text: L. Ron Hubbard.	TX2499124	1960-01-02	RE412986	1988-12-19	Mary Sue Hubbard|W							
					Chicago Sunday tribune.  Vol. 119, no. 1, Jan. 3, 1960.	B810920	1960-01-03	RE373310	1988-01-25	Chicago Tribune Company|PCW							
					The New York times.  Vol. 109, no. 37234, Jan. 3, 1960.	B811036	1960-01-03	RE368442	1988-01-11	New York Times Company|PCW							
					Sunday news.  Vol. 39, no. 36, Jan. 3, 1960.	B811053	1960-01-03	RE371917	1988-01-19	New York News, Inc.|PWH							
					Little Orphan Annie.	B811053	1960-01-03	RE411029	1988-12-30	Tribune Media Services, Inc.|PWH							
					The Washington post and times herald.  Vol. 83, no. 29, Jan. 3, 1960.	B812417	1960-01-03	RE401931	1988-12-08	Washington Post Company|PCW							
					New York herald tribune crossword puzzles.  Vol. 11, no. 48, Mar. 1960.	B815681	1960-01-03	RE375050	1988-01-19	I. H. T. Corporation|PWH							
				Harold Pinter.	The Room; a play in one act.	DF1407	1960-01-03	RE367266	1988-01-05	Harold Pinter|A							
					Donald Duck.  Jan. 10, 1960.	K57890	1960-01-03	RE376540	1988-02-09	Walt Disney Company|PWH							
					Uncle Remus.  Jan. 10, 1960.	K57892	1960-01-03	RE376541	1988-02-09	Walt Disney Company|PWH							
					Mickey Mouse.  Jan. 10, 1960.	K57893	1960-01-03	RE376542	1988-02-09	Walt Disney Company|PWH							
				L. Ron Hubbard.	HCOB3 January AD10, A Third dynamic for Scientology.	TX1143731	1960-01-03	RE405085	1988-12-06	Mary Sue Hubbard|W							
				Bohuslav Martinu.	Variationen ueber ein slowakisches Thema.  Fuer Violoncello und Klavier.	UCC work	1960-01-03	RE406196	1988-12-28	Tschechischer Musikfonds|C							
					Biblioteca de selecciones.  Vol. 15.	A423135	1960-01-04	RE376514	1988-02-04	Biblioteca de Selecciones, S.A.|PWH							
				Edward W. Dolch.	Teaching primary reading.	A423273	1960-01-04	RE407541	1988-12-19	Eleanor D. LaRoy|C||Marguerite Dolch|C||Catherine D. McAndrew|C							
				Everette E. Sentman.	The Wonderland of knowledge.  Vols. 1-12.	A423402	1960-01-04	RE384625	1988-05-19	United Educators, Inc.|PWH							
				Everette E. Sentman.	The American educator encyclopedia.  Vols. 1-10.	A423403	1960-01-04	RE384624	1988-05-19	United Educators, Inc.|PWH							
				Francis Weston Sears & Mark W. Zemansky.	Electricity and magnetism, light, and atomic physics.	A423781	1960-01-04	RE413676	1988-12-30	Adele C. Zemansky|W							
				M. Russell Wehr & James A. Richards, Jr.	Physics of the atom.	A423782	1960-01-04	RE413675	1988-12-30	James A. Richards, Jr.|A							
				Joseph J. Kwist and Mary C. Turpie.	Studies in American culture: dominant ideas and images.	A423799	1960-01-04	RE389227	1988-07-11	Joseph J. Kwist|A||Mary C. Turpie|A							
				Francis Weston Sears & Mark W. Zemansky.	College physics; complete.	A423800	1960-01-04	RE413677	1988-12-30	Adele C. Zemansky|W							
				Albert Gray, Nancy Sparks, Orthello Stephen, Jane Wagner.	English in practice.  Vol. 9.	A424030	1960-01-04	RE398908	1988-11-02	Newbery Award Records, Inc.|PWH							
				Albert Gray, Nancy Sparks, Orthello Stephen, Jane Wagner.	English in practice.  Vol. 10.	A424031	1960-01-04	RE398909	1988-11-02	Newbery Award Records, Inc.|PWH							
				Lottie Tate Dietrick and Fredonia Shelton Greenlee.	New puzzle pages.  Bk. 2.	A424032	1960-01-04	RE400227	1988-11-02	Newbery Award Records, Inc.|PWH							
				Edith H. Price, Flora B. Miller & Mable Ketterman.	Language roundup.  Vol. 3.	A424033	1960-01-04	RE400228	1988-11-02	Newbery Award Records, Inc.|PWH							
				Edith H. Price, Flora B. Miller & Irene Patchen Warner.	Language roundup.  Vol. 4.	A424034	1960-01-04	RE400229	1988-11-02	Newbery Award Records, Inc.|PWH							
				Ervin Eugene Lewis and Elizabeth B. Lewis.	We spell and write.  Grade 2 (transition)	A424035	1960-01-04	RE400230	1988-11-02	Newbery Award Records, Inc.|PWH							
				J. Martyn Walsh and Kathleen Walsh.	Plain English.  Vol. 10.	A424036	1960-01-04	RE400231	1988-11-02	Newbery Award Records, Inc.|PWH							
				Lottie Tate Dietrick and Fredonia Shelton Greenlee.	New puzzle pages.  Bk. 1.	A424037	1960-01-04	RE400232	1988-11-02	Newbery Award Records, Inc.|PWH							
					The Professional houseparent.  Text: Eva Burmeister.	A424427	1960-01-04	RE386105	1988-06-01	Ruth L. Perkins|E							
				T. Walter Wallbank & Alastair M. Taylor.	Civilization past and present.  Vol. 1.	A424441	1960-01-04	RE391732	1988-08-12	Scott, Foresman and Company|PWH							
					Better reading, I & II.|Repertory.	A424442	1960-01-04	RE391733	1988-08-12	Scott, Foresman and Company|PWH							
				E. Norman Lurch.	Fundamentals of electronics.	A424448	1960-01-04	RE421651	1988-12-05	E. Norman Lurch|A							
				John B. Harrison, Richard E. Sullivan.	A Short history of Western civilization.	A424616	1960-01-04	RE400187	1988-11-08	Richard E. Sullivan|A||William Whisnant|NK							
				William Peden, general editorship: Gordon N. Ray.	Twenty-nine stories.	A424628	1960-01-04	RE398830	1988-10-31	William Peden|A							
				Lewis M. Terman, Maud A. Merrill, Samuel R. Pinneau.	Stanford-Binet intelligence scale; manual for the third revision.  Form L-M.	A424629	1960-01-04	RE398684	1988-10-26	Doris M. Tucker|NK||Anne L. Jacobson|NK							
				Lewis M. Terman, Maud A. Merrill, Samuel R. Pinneau.	Stanford-Binet intelligence scale; manual for the third revision, form L-M.	A424629	1960-01-04	RE411976	1988-12-30	Samuel R. Pinneau|A							
				Lillian M. Logan, editorship: Herold C. Hunt.	Teaching the young child; methods of preschool and primary education.	A424630	1960-01-04	RE399426	1988-10-31	Lillian M. Logan|A							
				Thomas Hardy, introductory material: William E. Buckler, editorship: Gordon N. Ray.	Tess of the D'Urbervilles.	A424632	1960-01-04	RE398831	1988-10-31	William E. Buckler|A							
				Janice Holt Giles.	Johnny Osage.	A424633	1960-01-04	RE401056	1988-11-23	Elizabeth Ann Hancock|C							
