volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
18	1A	1	139	LOEB, ELINOR G.	Let's play garden. Originated by Nadine L. Rand, assembled & written by Elinor G. Loeb & Adele Gutman Nathan; illus. by Franchette.		AA212632	1936-08-01	R334086	1964-03-11	Nadine L. Rand, Elinor G. Loeb & Adele Gutman Nathan|A						LOEB, ELINOR G. Let's play garden. Originated by Nadine L. Rand, assembled & written by Elinor G. Loeb & Adele Gutman Nathan; illus. by Franchette. © 1Aug36; AA212632. Nadine L. Rand, Elinor G. Loeb & Adele Gutman Nathan (A); 11Mar64; R334086.
18	1A	1	139	LONDON, JACK.	Fils du soleil (A son of the sun) Traduit par Louis Postif.		AF36226	1937-01-14	R337520	1964-05-07	Mme. Louis Postif, nee Jeanne Marie Andre|W						LONDON, JACK. Fils du soleil (A son of the sun) Traduit par Louis Postif. © 14Jan37; AF36226. Mme. Louis Postif, nee Jeanne Marie Andre (W); 7May64; R337520.
18	1A	1	139	LOOMIS, ROGER SHERMAN.	Models for writing prose. With the collaboration of Vail Motter. Rev. ed.		A106022	1937-04-16	R339740	1964-06-18	Roger Sherman Loomis|A						LOOMIS, ROGER SHERMAN. Models for writing prose. With the collaboration of Vail Motter. Rev. ed. © 16Apr37; A106022. Roger Sherman Loomis (A); 18Jun64; R339740.
18	1A	1	139	LOPEZ, VINCENT.	Vincent Lopez elementary piano method.		AA220969	1936-12-12	R329170	1964-01-08	M. M. Cole Pub. Co.|PWH						LOPEZ, VINCENT. Vincent Lopez elementary piano method. © 12Dec36; AA220969. M. M. Cole Pub. Co. (PWH); 8Jan64; R329170.
18	1A	1	139	LORENZ, ADOLF.	My life and work; the search for a missing glove.		A96084	1936-04-17	R335688	1964-04-06	Konrad Zacharias Lorenz|C						LORENZ, ADOLF. My life and work; the search for a missing glove. © 17Apr36; A96084. Konrad Zacharias Lorenz (C); 6Apr64; R335688.
18	1A	1	139	LORENZ, FRIEDRICH.	Odysseus und Penelope; der Liebesroman des homerischen Helden.		AF34568	1936-10-29	R330362	1964-01-27	Friedrich Lorenz|A						LORENZ, FRIEDRICH. Odysseus und Penelope; der Liebesroman des homerischen Helden. © 29Oct36; AF34568. Friedrich Lorenz (A); 27Jan64; R330362.
18	1A	1	139	LORENZ, FRIEDRICH.	Väter der Maschinenwelt; unbekannte Erfinderschicksale aus fünf Jahrhunderten.		AF32004	1936-03-12	R330356	1964-01-27	Friedrich Lorenz|A						LORENZ, FRIEDRICH. Väter der Maschinenwelt; unbekannte Erfinderschicksale aus fünf Jahrhunderten. © 12Mar36; AF32004. Friedrich Lorenz (A); 27Jan64; R330356.
18	1A	1	139		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 1.		A105637	1937-03-19	R335106	1964-04-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 1. © 19Mar37; A105637. 6Apr64; R335106.
18	1A	1	139		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 14.		A99879	1936-10-20	R330038	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 14. © 20Oct36; A99879. 6Jan64; R330038.
18	1A	1	139		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 15.		A101350	1936-11-25	R330056	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 15. © 25Nov36; A101350. 6Jan64; R330056.
18	1A	1	139		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 16.		A101351	1936-11-25	R330057	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 16. © 25Nov36; A101351. 6Jan64; R330057.
18	1A	1	140		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 17.		A102479	1936-12-24	R330094	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 17. © 24Dec36; A102479. 6Jan64; R330094.
18	1A	1	140		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 18.		A102496	1936-12-24	R330109	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 18. © 24Dec36; A102496. 6Jan64; R330109.
18	1A	1	140		LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. Vol. 19.		A104209	1937-02-09	R335058	1964-04-06	West Pub. Co.|PWH						LOUISIANA DIGEST, 1809 to date, covering Louisiana reports and Southern reporter. © West Pub. Co. (PWH) Vol. 19. © 9Feb37; A104209. 6Apr64; R335058.
18	1A	1	140		LOUISIANA DIGEST. 1936 cumulative annual pocket part. Vol.2-16.		A102108	1936-11-18	R330083	1964-01-06	West Pub. Co.|PWH						LOUISIANA DIGEST. 1936 cumulative annual pocket part. Vol.2-16. © 18Nov36; A102108. West Pub. Co. (PWH); 6Jan64; R330083.
18	1A	1	140	LOVELACE, MAUD HART.	Gentlemen from England, by Maud & Delos Lovelace.		A104609	1937-04-06	R335274	1964-04-09	Maud Hart Lovelace & Delos W. Lovelace|A						LOVELACE, MAUD HART. Gentlemen from England, by Maud & Delos Lovelace. © 6Apr37; A104609. Maud Hart Lovelace & Delos W. Lovelace (A); 9Apr64; R335274.
18	1A	1	140	LOVELESS, WENDELL P.	God's grace hath appeared. (In New Pinebrook songs) NM: music and arrangement.		AA235024	1936-12-01	R336525	1964-04-01	Wendell P. Loveless|A						LOVELESS, WENDELL P. God's grace hath appeared. (In New Pinebrook songs) NM: music and arrangement. © 1Dec36; AA235024. Wendell P. Loveless (A); 1Apr64; R336525.
18	1A	1	140	LOVELESS, WENDELL P.	He carries us and our burdens too. By Wendell P. Loveless & W. H. Houghton. (In New Pinebrook songs)		AA235024	1936-12-01	R337371	1964-04-01	Wendell P. Loveless|A						LOVELESS, WENDELL P. He carries us and our burdens too. By Wendell P. Loveless & W. H. Houghton. (In New Pinebrook songs) © 1Dec36; AA235024. Wendell P. Loveless (A); 1Apr64; R337371.
18	1A	1	140	LOVELESS, WENDELL P.	He loves me. (In New Pinebrook songs)		AA235024	1936-12-01	R336528	1964-04-01	Wendell P. Loveless|A						LOVELESS, WENDELL P. He loves me. (In New Pinebrook songs) © 1Dec36; AA235024. Wendell P. Loveless (A); 1Apr64; R336528.
18	1A	1	140	LOVELESS, WENDELL P.	Jesus, my Lord. (In New Pinebrook songs)		AA235024	1936-12-01	R336527	1964-04-01	Wendell P. Loveless|A						LOVELESS, WENDELL P. Jesus, my Lord. (In New Pinebrook songs) © 1Dec36; AA235024. Wendell P. Loveless (A); 1Apr64; R336527.
18	1A	1	140	LOVELESS, WENDELL P.	Jesus, Saviour, Divine. (In New Pinebrook songs)		AA235024	1936-12-01	R336526	1964-04-01	Wendell P. Loveless|A						LOVELESS, WENDELL P. Jesus, Saviour, Divine. (In New Pinebrook songs) © 1Dec36; AA235024. Wendell P. Loveless (A); 1Apr64; R336526.
