volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
					The Christmas story.	A947756	1927-10-27	RE703402	1995-06-12	Child Evangelism Fellowship, Inc.|PWH						
					Doctor Gringo.	A942961	1957-09-11	RE717169	1995-12-29	Helen Butler|A						
					Midway 4 June 1942.	A963533	1967-10-01	RE715589	1995-12-21	Chester Leo Smith|A	Pub. abroad|1962-12-01|AI-8328				& renewed as RE 478-847	
					Yearbook of the Association of Pacific Coast Geographers.  Vol. 29, 1967.  Editor: John F. Gaines.	A6151	1963-06-10	RE723494	1995-12-28	Oregon State University Press|PWH					In notice: 1967	
