volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
15	1A	1	1	ABBOTT, JANE.	Fiddler's coin.		A74057	1934-06-13	R277829	1961-06-19	Jane Abbott|A						ABBOTT, JANE. Fiddler's coin. © 13Jun34; A74057. Jane Abbott (A); 19Jun61; R277829.
15	1A	1	1	ABBOTT, JANE.	Miss Jolley's family.		A63290	1933-04-24	R260747	1960-07-28	Jane Abbott|A						ABBOTT, JANE. Miss Jolley's family. © 24Apr33; A63290. Jane Abbott (A); 28Jul60; R260747.
15	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1933 cumulative annual pocket parts for volumes 1-40.		A69589	1934-01-23	R274063	1961-04-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1933 cumulative annual pocket parts for volumes 1-40. © 23Jan34; A69589. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 5Apr61; R274063.
15	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. October 1933 cumulative quarterly pamphlet.		A68174	1933-10-16	R269438	1961-01-12	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. October 1933 cumulative quarterly pamphlet. © 16Oct33; A68174. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 12Jan61; R269438.
15	1A	1	1	ABDULLAH, ACHMED.	Love comes to Sally.		A62620	1933-05-10	R274600	1961-04-13	Mrs. Neill McLaurin Coney|W						ABDULLAH, ACHMED. Love comes to Sally. © 10May33; A62620. Mrs. Neill McLaurin Coney (W); 13Apr61; R274600.
15	1A	1	1	ABRAHAM, ROBERT MORRISON.	Winter nights entertainments. Illustrated by the author. Introd. by Lord Baden Powell of Gilwell.		A65118	1933-08-22	R269207	1961-01-11	R. M. Abraham|A						ABRAHAM, ROBERT MORRISON. Winter nights entertainments. Illustrated by the author. Introd. by Lord Baden Powell of Gilwell. © 22Aug33; A65118. R. M. Abraham (A); 11Jan61; R269207.
15	1A	1	2	ADAMS, JAMES TRUSLOW.	The epic of America. Illustrated by M. J. Gallagher. Rev. ed.		A65980	1933-11-03	R271709	1961-03-01	Mrs. James Truslow Adams|W						ADAMS, JAMES TRUSLOW. The epic of America. Illustrated by M. J. Gallagher. Rev. ed. © 3Nov33; A65980. Mrs. James Truslow Adams (W); 1Mar61; R271709.
15	1A	1	2	ADAMS, ROGER.	Elementary laboratory experiments in organic chemistry, by Roger Adams & John R. Johnson. Rev. ed.		A60122	1933-02-01	R269727	1961-01-19	Roger Adams & John R. Johnson|A						ADAMS, ROGER. Elementary laboratory experiments in organic chemistry, by Roger Adams & John R. Johnson. Rev. ed. © 1Feb33; A60122. Roger Adams & John R. Johnson (A); 19Jan61; R269727.
15	1A	1	2	ADAMS, SAMUEL HOPKINS.	Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933)		B185393	1933-03-21	R272780	1961-03-20	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933) © 21Mar33, B185393; 20Apr33, B188400. Hester H. Adams & Kathrine A. Adell (C); 20Mar61; R272780-272781.
15	1A	1	2	ADAMS, SAMUEL HOPKINS.	Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933)		B188400	1933-04-20	R272781	1961-03-20	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933) © 21Mar33, B185393; 20Apr33, B188400. Hester H. Adams & Kathrine A. Adell (C); 20Mar61; R272780-272781.
