volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
20	1A	1	1	ABBOTT, AUSTIN.	Forms of pleading in actions for legal or equitable relief. 1931-1940 supplement to Abbott's Forms of pleading, by Edwin M. Bohm.		A127371	1939-03-08	R381892	1966-03-11	Baker, Voorhis & Co., Inc.|PWH						ABBOTT, AUSTIN. Forms of pleading in actions for legal or equitable relief. 1931-1940 supplement to Abbott's Forms of pleading, by Edwin M. Bohm. © 8Mar39; A127371. Baker, Voorhis & Co., Inc. (PWH); 11Mar66; R381892.
20	1A	1	1	ABBOTT, DAISY T.	The northern garden week by week.		A117274	1938-04-19	R384425	1966-04-14	Thomson Abbott|C						ABBOTT, DAISY T. The northern garden week by week. © 19Apr38; A117274. Thomson Abbott (C); 14Apr66; R384425.
20	1A	1	1	ABBOTT, E. C.	We pointed them north; recollections of a cowpuncher, by E. C. Abbott (Teddy Blue) & Helena Huntington Smith. Illustrated with drawings by Rose Santee.		A128326	1939-04-26	R386808	1966-05-26	Helena Huntington Smith|A||Mrs. E. C. Abbott|W						ABBOTT, E. C. We pointed them north; recollections of a cowpuncher, by E. C. Abbott (Teddy Blue) & Helena Huntington Smith. Illustrated with drawings by Rose Santee. © 26Apr39; A128326. Helena Huntington Smith (A) & Mrs. E. C. Abbott (W); 26May66; R386808.
20	1A	1	1	ABBOTT, JANE.	Singing shadows.		A119316	1938-06-23	R380348	1966-02-07	Frank A. Abbott|C						ABBOTT, JANE. Singing shadows. © 23Jun38; A119316. Frank A. Abbott (C); 7Feb66; R380348.
20	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Dec38.		A124907	1938-12-07	R376753	1966-01-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Dec38. © 7Dec38; A124907. 5Jan66; R376753.
20	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Mar39.		A129167	1939-03-20	R382968	1966-04-04	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Mar39. © 20Mar39; A129167. 4Apr66; R382968.
20	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Jun39.		A130504	1939-06-26	R388714	1966-07-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Jun39. © 26Jun39; A130504. 5Jul66; R388714.
20	1A	1	2		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1938 cumulative annual pocket parts. Vol. 1-40.		A123791	1938-10-28	R376685	1966-01-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1938 cumulative annual pocket parts. Vol. 1-40. © 28Oct38; A123791. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 5Jan66; R376685.
20	1A	1	2	ABEL, THEODORE.	Why Hitler came into power.		A125487	1938-12-09	R378109	1966-01-18	Theodore Abel|A						ABEL, THEODORE. Why Hitler came into power. © 9Dec38; A125487. Theodore Abel (A); 18Jan66; R378109.
20	1A	1	2	ABOUT, EDMOND.	Le roi des Montagnes. New matter by Leif Dahl, Clotilde Dahl, Henri Rochard.		A124669	1938-10-27	R384557	1966-04-13	Leif C. Dahl|A						ABOUT, EDMOND. Le roi des Montagnes. New matter by Leif Dahl, Clotilde Dahl, Henri Rochard. © 27Oct38; A124669. Leif C. Dahl (A); 13Apr66; R384557.
20	1A	1	2	ACHESON, EDWARD.	Murder to hounds.		A125991	1939-02-09	R386451	1966-05-23	Edward Acheson|A						ACHESON, EDWARD. Murder to hounds. © 9Feb39; A125991. Edward Acheson (A); 23May66; R386451.
20	1A	1	2	ACHESON, SAM.	35,000 days in Texas; a history of the Dallas news and its forebears.		A119610	1938-07-25	R383154	1966-03-31	Sam Acheson|A						ACHESON, SAM. 35,000 days in Texas; a history of the Dallas news and its forebears. © 25Jul38; A119610. Sam Acheson (A); 31Mar66; R383154.
20	1A	1	2	ADAIR, FRED LYMAN, ed.	Maternal care complications. Prepared by R. C. Mussey, P.F. Williams & F.H. Falls.		A119116	1938-06-07	R379459	1966-01-19	University of Chicago|PWH						ADAIR, FRED LYMAN, ed. Maternal care complications. Prepared by R. C. Mussey, P.F. Williams & F.H. Falls. © 7Jun38; A119116. University of Chicago (PWH); 19Jan66; R379459.
