entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
cc382b6d-8950-51ab-a5ae-18e6c9164a4a	24	1	1	1	ABBOTT, ANTHONY.	The shudders; a Thatcher Colt police mystery, by Anthony Abbott (Lawrence Abbott).	A170272	1943-01-07	R481782	1970-02-11	Winifred Buck Abbott|W						ABBOTT, ANTHONY. The shudders; a Thatcher Colt police mystery, by Anthony Abbott (Lawrence Abbott). © 7Jan43; A170272. Winifred Buck Abbott (W); 11Feb70; R481782. (See also Oursler, Fulton; 5Oct70; R491559)
0bde4c40-9308-575b-85c2-b2ded8e05adb	24	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Feb43.	AA421633	1943-02-04	R487212	1970-07-06	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Feb43. © 4Feb43; AA421633. 6Jul70; R487212.
42c1e9d0-2792-5887-b6fe-6a168b109f7e	24	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1942 cumulative annual pocket part. Vol.1-42.	AA417536	1942-12-18	R477440	1970-02-02	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1942 cumulative annual pocket part. Vol.1-42. © 18Dec42; AA417536. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 2Feb70; R477440.
1939eb37-fd29-54f6-8a20-8da9cda60608	24	1	1	2	ABRAMSON, HAROLD A.	Electrophoresis of proteins and the chemistry of cell surfaces, by Harold A. Abramson, Laurence S. Moyer & Manuel H. Gorin.	A166669	1942-08-11	R482704	1970-03-13	Reinhold Pub. Corp.|PWH						ABRAMSON, HAROLD A. Electrophoresis of proteins and the chemistry of cell surfaces, by Harold A. Abramson, Laurence S. Moyer & Manuel H. Gorin. © 11Aug42; A166669. Reinhold Pub. Corp. (PWH); 13Mar70; R482704.
89bb6552-8291-5e6d-b0f3-ba8a31c3e25b	24	1	1	2	ADAMIC, LOUIS.	My captain and I. (In This week magazine, Boston herald ed., Dec. 13, 1942)	B567197	1942-12-10	R481171	1970-03-23	Stan Adamic|NK						ADAMIC, LOUIS. My captain and I. (In This week magazine, Boston herald ed., Dec. 13, 1942) © 10Dec42; B567197. Stan Adamic (NK); 23Mar70; R481171.
e7bc2baf-bc29-5cfe-8540-081ee9204798	24	1	1	2	ADAMIC, LOUIS.	What's your name.	A166864	1942-09-02	R481173	1970-03-23	Stan Adamic|NK						ADAMIC, LOUIS. What's your name. © 2Sep42; A166864. Stan Adamic (NK); 23Mar70; R481173.
4b05b603-ecba-5870-afb3-51ccbea1cdc6	24	1	1	2	ADAMS, BROOKS.	The law of civilization and decay; an essay on history. Introd. by Charles A. Beard. NM: introd.	A173085	1943-05-17	R484984	1970-05-20	Alfred A. Knopf, Inc.|PWH						ADAMS, BROOKS. The law of civilization and decay; an essay on history. Introd. by Charles A. Beard. NM: introd. © 17May43; A173085. Alfred A. Knopf, Inc. (PWH); 20May70; R484984.
b3863bf9-7e70-5fdb-84eb-5386ba2178c9	24	1	1	2	ADAMS, CHARLOTTE.	You'll eat it up; a menu for every day and every occasion.	A173027	1943-04-29	R485689	1970-05-08	Charlotte Adams|A						ADAMS, CHARLOTTE. You'll eat it up; a menu for every day and every occasion. © 29Apr43; A173027. Charlotte Adams (A); 8May70; R485689.
7643628e-7a28-5381-a7c2-00ee27382358	24	1	1	2	ADAMS, CLEVE F.	What price murder.	A164997	1942-06-01	R483303	1970-04-20	Warren F. Adams|C						ADAMS, CLEVE F. What price murder. © 1Jun42; A164997. Warren F. Adams (C); 20Apr70; R483303.
13ab982d-768e-5978-b4b9-a7fc02456fb2	24	1	1	3	ADAMS, ELIZABETH LAURA.	Dark symphony.	A163649	1942-04-08	R480945	1970-03-18	Elizabeth Laura Adams|A						ADAMS, ELIZABETH LAURA. Dark symphony. © 8Apr42; A163649. Elizabeth Laura Adams (A); 18Mar70; R480945.
5c7027f0-3f40-5a6e-b2fd-8cd3e5a3a8ee	24	1	1	3	ADAMS, HENRY.	The education of Henry Adams. Illustrated with etchings by Samuel Chamberlain & with an introd. by Henry Seidel Canby. NM: illus. & introd.	A162406	1942-02-28	R478227	1970-02-05	George Macy Companies, Inc.|PWH						ADAMS, HENRY. The education of Henry Adams. Illustrated with etchings by Samuel Chamberlain & with an introd. by Henry Seidel Canby. NM: illus. & introd. © 28Feb42; A162406. George Macy Companies, Inc. (PWH); 5Feb70; R478227.
123d8054-2b3d-58b4-8048-98c9495c6e8c	24	1	1	3	ADAMS, RANDOLPH G.	Lexington to Fallen Timbers, 1775-1795, by Randolph G. Adams & Howard H. Peckham. Foreword by William A. Ganoe.	AA416381	1942-11-17	R477016	1970-01-19	Howard H. Peckham|A						ADAMS, RANDOLPH G. Lexington to Fallen Timbers, 1775-1795, by Randolph G. Adams & Howard H. Peckham. Foreword by William A. Ganoe. © 17Nov42; AA416381. Howard H. Peckham (A); 19Jan70; R477016.
778a5d9a-b1f1-5eea-acae-ae27c217a41d	24	1	1	3	ADAMS, SAMUEL HOPKINS.	Tambay gold.	A168591	1942-10-15	R478440	1970-02-04	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. Tambay gold. © 15Oct42; A168591. Hester H. Adams & Kathrine A. Adell (C); 4Feb70; R478440.
e28580e5-fe13-579a-91ac-2b8a5ac86924	24	1	1	4	ADDAMS, CHARLES.	Any children? mysterious looking tenants. (In The New Yorker, Nov. 21, 1942)	B565601	1942-11-19	R475437	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. Any children? mysterious looking tenants. (In The New Yorker, Nov. 21, 1942) © 19Nov42; B565601. Charles Addams (A); 5Jan70; R475437.
db7070bb-593a-5ab0-95a2-b3f619781dca	24	1	1	4	ADDAMS, CHARLES.	Are you unhappy, darling? Oh, yes, yes! Completely. (In The New Yorker, Nov. 14, 1942)	B564857	1942-11-12	R475436	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. Are you unhappy, darling? Oh, yes, yes! Completely. (In The New Yorker, Nov. 14, 1942) © 12Nov42; B564857. Charles Addams (A); 5Jan70; R475436.
18a82810-7536-50f0-a033-03b4b9ff1892	24	1	1	4	ADDAMS, CHARLES.	Art of lunacy. (In Time, Nov. 9, 1942)	B564168	1942-11-05	R475435	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. Art of lunacy. (In Time, Nov. 9, 1942) © 5Nov42; B564168. Charles Addams (A); 5Jan70; R475435.
9b503cbd-09cb-5dfa-8a60-96b693dcc0ae	24	1	1	4	ADDAMS, CHARLES.	Do I leave the punctuation up to the Home Office? (In The New Yorker, Feb. 27, 1943)	B578248	1943-02-25	R483447	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. Do I leave the punctuation up to the Home Office? (In The New Yorker, Feb. 27, 1943) © 25Feb43; B578248. Charles Addams (A); 27Apr70; R483447.
ac6d5a75-e6fd-5107-aa53-3d6af86301ed	24	1	1	4	ADDAMS, CHARLES.	Do you have one in which a wife murders her husband in a very ingenious manner? (In The New Yorker, Jan. 16, 1943)	B570927	1943-01-14	R483444	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. Do you have one in which a wife murders her husband in a very ingenious manner? (In The New Yorker, Jan. 16, 1943) © 14Jan43; B570927. Charles Addams (A); 27Apr70; R483444.
e52d0f06-4bdf-566c-9e1f-4655aeabf327	24	1	1	4	ADDAMS, CHARLES.	Drawn and quartered. With a foreword by Boris Karloff. NM: compilation of drawings & new drawings.	A168287	1942-10-21	R475440	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. Drawn and quartered. With a foreword by Boris Karloff. NM: compilation of drawings & new drawings. © 21Oct42; A168287. Charles Addams (A); 5Jan70; R475440.
827630d1-c123-5dcc-99bf-d3ad7fb0470a	24	1	1	4	ADDAMS, CHARLES.	Ghosts around gasoline station. (In The New Yorker, Jan. 30, 1943)	B572979	1943-01-28	R483445	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. Ghosts around gasoline station. (In The New Yorker, Jan. 30, 1943) © 28Jan43; B572979. Charles Addams (A); 27Apr70; R483445.
ccd5c847-15b5-5a04-a120-d5d8f3f4ade9	24	1	1	4	ADDAMS, CHARLES.	I don't know his sleeve length, but his neck is about like that. (In The New Yorker, Dec. 5, 1942)	B566657	1942-12-03	R475438	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. I don't know his sleeve length, but his neck is about like that. (In The New Yorker, Dec. 5, 1942) © 3Dec42; B566657. Charles Addams (A); 5Jan70; R475438.
e803b3d9-f15a-5df6-8549-b06aa527b931	24	1	1	4	ADDAMS, CHARLES.	I wouldn't worry about it, Ed, probably something you ate. (In The New Yorker, Sept. 19, 1942)	B558025	1942-09-17	R475433	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. I wouldn't worry about it, Ed, probably something you ate. (In The New Yorker, Sept. 19, 1942) © 17Sep42; B558025. Charles Addams (A); 5Jan70; R475433.
65f20fb6-3bda-5c5f-9610-de68359051f6	24	1	1	4	ADDAMS, CHARLES.	It's marvellous, all you do is add water. (In The New Yorker, Oct. 31, 1942)	B562619	1942-10-29	R475434	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. It's marvellous, all you do is add water. (In The New Yorker, Oct. 31, 1942) © 29Oct42; B562619. Charles Addams (A); 5Jan70; R475434.
4b0627e0-ecb9-5d0c-ad95-1606b467cd24	24	1	1	4	ADDAMS, CHARLES.	Snow-shoveller discovers that statue has been down to the fountain for a drink of water. (In The New Yorker, Feb. 13, 1943)	B575433	1943-02-11	R483446	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. Snow-shoveller discovers that statue has been down to the fountain for a drink of water. (In The New Yorker, Feb. 13, 1943) © 11Feb43; B575433. Charles Addams (A); 27Apr70; R483446.
cd7072fc-61a2-5015-9320-7cc91cdd11da	24	1	1	4	ADDAMS, CHARLES.	This is your room. If you should need anything, just scream. (In The New Yorker, Mar. 13, 1943)	B578826	1943-03-11	R483448	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. This is your room. If you should need anything, just scream. (In The New Yorker, Mar. 13, 1943) © 11Mar43; B578826. Charles Addams (A); 27Apr70; R483448.
57fd9013-d35c-5eae-b8dc-f93ad8fec62e	24	1	1	4	ADDAMS, CHARLES.	Well, dear, was it fun playing Indian? (In The New Yorker, Sept. 12, 1942)	B557360	1942-09-10	R475432	1970-01-05	Charles Addams|A						ADDAMS, CHARLES. Well, dear, was it fun playing Indian? (In The New Yorker, Sept. 12, 1942) © 10Sep42; B557360. Charles Addams (A); 5Jan70; R475432.
c4a4a81d-4bac-5fc8-b6fd-5e5d1a6eada5	24	1	1	4	ADDAMS, CHARLES.	Won't you take a seat? The curator is engaged just now. (In The New Yorker, Apr. 10, 1943)	B580584	1943-04-08	R483443	1970-04-27	Charles Addams|A						ADDAMS, CHARLES. Won't you take a seat? The curator is engaged just now. (In The New Yorker, Apr. 10, 1943) © 8Apr43; B580584. Charles Addams (A); 27Apr70; R483443.
