entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
9d8413d1-7f62-5a13-aa63-21e98fd541ff	28	1	1	2809		Superman. (In Action comics, Apr. 1945)	B665115	1945-02-13	R544094	1973-01-10	National Periodical Publications, Inc.|PWH						R544094. Superman. (In Action comics, Apr. 1945) © 13Feb45; B665115. National Periodical Publications, Inc. (PWH); 10Jan73; R544094.
03fcecd7-97d4-5b91-8ddd-69e5c680a45e	28	1	1	2809		Superman. (In Action comics, May 1945)	B669019	1945-03-13	R544102	1973-01-10	National Periodical Publications, Inc.|PWH						R544102. Superman. (In Action comics, May 1945) © 13Mar45; B669019. National Periodical Publications, Inc. (PWH); 10Jan73; R544102.
842ec00d-9e64-5d96-8452-38be03b87dee	28	1	1	2809		Superman. (In Action comics, June 1945)	B675791	1945-04-16	R544111	1973-01-10	National Periodical Publications, Inc.|PWH						R544111. Superman. (In Action comics, June 1945) © 16Apr45; B675791. National Periodical Publications, Inc. (PWH); 10Jan73; R544111.
aee61771-9ad4-548c-9dfe-d087debe90ea	28	1	1	2809		Superman. (In Action comics, July 1945)	B677906	1945-05-14	R544125	1973-01-10	National Periodical Publications, Inc.|PWH						R544125. Superman. (In Action comics, July 1945) © 14May45; B677906. National Periodical Publications, Inc. (PWH); 10Jan73; R544125.
6e11d282-8730-53c0-adce-0911d4c5bc80	28	1	1	2809		Superman. (In Action comics, Aug. 1945)	B681096	1945-06-12	R544137	1973-01-10	National Periodical Publications, Inc.|PWH						R544137. Superman. (In Action comics, Aug. 1945) © 12Jun45; B681096. National Periodical Publications, Inc. (PWH); 10Jan73; R544137.
dc09d67b-8318-5db2-831f-6af8992077e2	28	1	1	2809	Victoria Case.	A Woman's place. (In Saturday evening post, Aug. 24, 1946)	B34888	1946-08-21	R561876	1973-10-29	Victoria Case|A						R561876. A Woman's place. By Victoria Case. (In Saturday evening post, Aug. 24, 1946) © 21Aug46; B34888. Victoria Case (A); 29Oct73; R561876. (See also A Woman's place; 24Jun74; R579911)
665b01f7-1a37-51e3-900a-2f17b3dc151a	28	1	1	2809	Victoria Case.	Applesauce needs sugar. (In Saturday evening post, Oct. 26, 1946)	B43730	1946-10-23	R561878	1973-10-29	Victoria Case|A						R561878. Applesauce needs sugar. By Victoria Case. (In Saturday evening post, Oct. 26, 1946) © 23Oct46; B43730. Victoria Case (A); 29Oct73; R561878. (See also Applesauce needs sugar; 24Jun74; R579912)
9e10bb37-c83a-51fe-abd5-19f4b9e55aad	28	1	1	2809	Jan Struther, pseud. of Joyce Maxtone Graham.	A Pocketful of pebbles.	A4458	1946-06-06	R563555	1973-11-08	Adolf Kurt Placzek|E						R563555. A Pocketful of pebbles. By Jan Struther, pseud. of Joyce Maxtone Graham. © 6Jun46; A4458. Adolf Kurt Placzek (E); 8Nov73; R563555. (See also A Pocketful of pebbles; 24May74; R577988)
105abf50-fd41-53c9-bc2f-4182a12608b9	28	1	1	2809	Stephen Vincent Benet.	This bright dream. (In The Last circle)	A8670	1946-11-18	R566183	1973-12-20	Thomas C. Benet, Rachel Benet Lewis & Stephenie Benet Mahin|PPW						R566183. This bright dream. By Stephen Vincent Benet. (In The Last circle) © 18Nov46; A8670. Thomas C. Benet, Rachel Benet Lewis & Stephenie Benet Mahin (PPW); 20Dec73; R566183.
1785efe7-5acd-54d6-9ca4-589808c50fc6	28	1	1	2809	Ruth Seder Cooke.	Vogue patterns; catalog, February 1947.	A9471	1946-12-24	R566219	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566219. Vogue patterns; catalog, February 1947. By Ruth Seder Cooke. © 24Dec46; A9471. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566219.
292cf0ee-3f86-518c-b06a-af58274b12a1	28	1	1	2809	Ruth Seder Cooke.	Hollywood patterns; pamphlet, January 1947.	AA29497	1946-12-02	R566220	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566220. Hollywood patterns; pamphlet, January 1947. By Ruth Seder Cooke. © 2Dec46; AA29497. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566220.
02a6e746-28fa-54fc-bfea-855f7da3475b	28	1	1	2809	Ruth Seder Cooke.	Hollywood patterns; catalog, January 1947.	AA29498	1946-12-02	R566221	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566221. Hollywood patterns; catalog, January 1947. By Ruth Seder Cooke. © 2Dec46; AA29498. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566221.
5c7d5ec9-eb5a-581c-b0cc-ad9ef38b7bbc	28	1	1	2809	Ruth Seder Cooke.	Vogue patterns; pamphlet, January 15, 1947.	AA29994	1946-12-10	R566222	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566222. Vogue patterns; pamphlet, January 15, 1947. By Ruth Seder Cooke. © 10Dec46; AA29994. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566222.
5fac6932-c4ce-533c-9629-d8fd39aa0da1	28	1	1	2809	Ruth Seder Cooke.	Vogue patterns; pamphlet, February 1, 1947.	AA40700	1946-12-24	R566223	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566223. Vogue patterns; pamphlet, February 1, 1947. By Ruth Seder Cooke. © 24Dec46; AA40700. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566223.
376527bf-36cb-550d-bca2-8103a2bad824	28	1	1	2809	Ruth Seder Cooke.	Vogue first of the month collection, February 1947.	AA40701	1946-12-24	R566224	1974-01-04	The Conde Nast Publications, Inc.|PWH						R566224. Vogue first of the month collection, February 1947. By Ruth Seder Cooke. © 24Dec46; AA40701. The Conde Nast Publications, Inc. (PWH); 4Jan74; R566224.
91a2d903-d04c-5806-8d8d-95b2e492e616	28	1	1	2809	A. J. Liebling.	Obits. (In The New Yorker, Jan. 19, 1946)	B3291	1946-01-17	R566256	1973-12-19	Jean Stafford Liebling|W						R566256. Obits. By A. J. Liebling. (In The New Yorker, Jan. 19, 1946) © 17Jan46; B3291. Jean Stafford Liebling (W); 19Dec73; R566256.
7e5595d0-aaf6-5469-ac94-e9e949af7a1a	28	1	1	2809	A. J. Liebling.	Mayor into columnist. (In The New Yorker, Feb. 23, 1946)	B9716	1946-02-21	R566257	1973-12-19	Jean Stafford Liebling|W						R566257. Mayor into columnist. By A. J. Liebling. (In The New Yorker, Feb. 23, 1946) © 21Feb46; B9716. Jean Stafford Liebling (W); 19Dec73; R566257.
15d1905d-8218-5ad3-92b6-8fab17a08dc7	28	1	1	2809	A. J. Liebling.	Papers within papers. (In The New Yorker, Mar. 30, 1946)	B16210	1946-03-28	R566258	1973-12-19	Jean Stafford Liebling|W						R566258. Papers within papers. By A. J. Liebling. (In The New Yorker, Mar. 30, 1946) © 28Mar46; B16210. Jean Stafford Liebling (W); 19Dec73; R566258.
74d5bfea-5bc9-5ffd-8774-ea580705b461	28	1	1	2809	A. J. Liebling.	Mamie and Mister O'Donnell carry on. (In The New Yorker, June 8, 1946)	B24249	1946-06-06	R566259	1973-12-19	Jean Stafford Liebling|W						R566259. Mamie and Mister O'Donnell carry on. By A. J. Liebling. (In The New Yorker, June 8, 1946) © 6Jun46; B24249. Jean Stafford Liebling (W); 19Dec73; R566259.
17eaaf0a-197c-5d7c-9a45-e56b9441bc17	28	1	1	2809	A. J. Liebling.	And the sun stood still. (In The New Yorker, Aug. 3, 1946)	B30787	1946-08-03	R566260	1973-12-19	Jean Stafford Liebling|W						R566260. And the sun stood still. By A. J. Liebling. (In The New Yorker, Aug. 3, 1946) © 3Aug46; B30787. Jean Stafford Liebling (W); 19Dec73; R566260.
7f46d672-2b56-5f04-a0f1-34e9dbddc41f	28	1	1	2809	A. J. Liebling.	Antepenultimatum. (In The New Yorker, Sept. 7, 1946)	B36114	1946-09-05	R566261	1973-12-19	Jean Stafford Liebling|W						R566261. Antepenultimatum. By A. J. Liebling. (In The New Yorker, Sept. 7, 1946) © 5Sep46; B36114. Jean Stafford Liebling (W); 19Dec73; R566261.
53b6224c-b266-5e1d-89fc-1c43905d6442	28	1	1	2809	A. J. Liebling.	For the defense. (In The New Yorker, Sept. 14, 1946)	B37013	1946-09-12	R566262	1973-12-19	Jean Stafford Liebling|W						R566262. For the defense. By A. J. Liebling. (In The New Yorker, Sept. 14, 1946) © 12Sep46; B37013. Jean Stafford Liebling (W); 19Dec73; R566262.
cd365fb9-8d61-5efd-adb7-4dc522ed1bc1	28	1	1	2809	A. J. Liebling.	The Scribes of destiny. (In The New Yorker, Sept. 28, 1946)	B39787	1946-09-26	R566263	1973-12-19	Jean Stafford Liebling|W						R566263. The Scribes of destiny. By A. J. Liebling. (In The New Yorker, Sept. 28, 1946) © 26Sep46; B39787. Jean Stafford Liebling (W); 19Dec73; R566263.
2a3c2633-e91b-565d-9ba5-342519e2fd31	28	1	1	2809	A. J. Liebling.	Two pounds for a dime. (In The New Yorker, Nov. 2, 1946)	B44489	1946-10-31	R566264	1973-12-19	Jean Stafford Liebling|W						R566264. Two pounds for a dime. By A. J. Liebling. (In The New Yorker, Nov. 2, 1946) © 31Oct46; B44489. Jean Stafford Liebling (W); 19Dec73; R566264.
d560de17-336b-5864-ab0f-886f1232b087	28	1	1	2809	A. J. Liebling.	Little landslide. (In The New Yorker, Nov. 16, 1946)	B48794	1946-11-14	R566265	1973-12-19	Jean Stafford Liebling|W						R566265. Little landslide. By A. J. Liebling. (In The New Yorker, Nov. 16, 1946) © 14Nov46; B48794. Jean Stafford Liebling (W); 19Dec73; R566265.
656aec02-68ac-51c3-b639-a6b95b785ee6	28	1	1	2809	A. J. Liebling.	The Great Govamba. (In The New Yorker, Dec. 7, 1946)	B49643	1946-12-05	R566266	1973-12-19	Jean Stafford Liebling|W						R566266. The Great Govamba. By A. J. Liebling. (In The New Yorker, Dec. 7, 1946) © 5Dec46; B49643. Jean Stafford Liebling (W); 19Dec73; R566266.
70d9e356-82f5-5e28-9687-95dae989ea5f	28	1	1	2809	Henry H. Walsh, with illus. by the author.	The Make it yourself book of handicrafts.	A8086	1946-11-04	R566267	1973-11-12	Copeland and Lamm, Inc.|PWH						R566267. The Make it yourself book of handicrafts. By Henry H. Walsh, with illus. by the author. © 4Nov46; A8086. Copeland and Lamm, Inc. (PWH); 12Nov73; R566267.
26f81fce-e7db-5eff-99bb-b9bf320caf20	28	1	1	2810	Anna Mary Robertson Moses, edited by Otto Kallir.	Grandma Moses: an American primitive.	A9523	1946-11-05	R566268	1973-11-12	Otto Kallir|A						R566268. Grandma Moses: an American primitive. By Anna Mary Robertson Moses, edited by Otto Kallir. © 5Nov46; A9523. Otto Kallir (A); 12Nov73; R566268.
517103bb-9e03-54db-9a63-9895a335c3dc	28	1	1	2810	Don M. Wolfe.	The Purple testament.	A10150	1946-11-01	R566269	1973-11-12	Don M. Wolfe|A						R566269. The Purple testament. By Don M. Wolfe. © 1Nov46; A10150. Don M. Wolfe (A); 12Nov73; R566269.
04c0ee21-71b5-51c4-865f-559c098ebf07	28	1	1	2810	Leslie Charteris.	Operation Luella. (In Rex Stout mystery monthly, Oct. 1946)	B55465	1946-11-01	R566270	1973-11-12	Leslie Charteris|A						R566270. Operation Luella. By Leslie Charteris. (In Rex Stout mystery monthly, Oct. 1946) © 1Nov46; B55465. Leslie Charteris (A); 12Nov73; R566270.
e9469c20-29ae-56dd-b389-19658be57e56	28	1	1	2810	Harriet Janis & Sidney Janis.	Picasso: the recent years, 1939-1946.	A8916	1946-12-05	R566271	1973-12-20	Sidney Janis|A & Wr						R566271. Picasso: the recent years, 1939-1946. By Harriet Janis & Sidney Janis. © 5Dec46; A8916. Sidney Janis (A & Wr); 20Dec73; R566271.
087053ef-1c7c-54f9-93fd-346f20a07dfe	28	1	1	2810		Digest of masterworks of autobiography, 10 great classics. Edited by Richard D. Mallery.	A8917	1946-12-05	R566272	1973-12-20	Copeland and Lamm, Inc.|PWH		compilation, introd. & digest.				R566272. Digest of masterworks of autobiography, 10 great classics. Edited by Richard D. Mallery. NM: compilation, introd. & digest. © 5Dec46; A8917. Copeland and Lamm, Inc. (PWH); 20Dec73; R566272.
252b12d3-6a30-507c-b449-3af98a76fad9	28	1	1	2810	Pat McGerr.	Pick your victim.	A8918	1946-12-05	R566273	1973-12-20	Pat McGerr|A						R566273. Pick your victim. By Pat McGerr. © 5Dec46; A8918. Pat McGerr (A); 20Dec73; R566273.
52500eb4-b47a-5f85-81e0-35872ecf4b01	28	1	1	2810	Carola Oman, pseud. of Carola A. Lenanton.	Nelson.	A8919	1946-12-05	R566274	1973-12-20	Carola A. Lenanton|A						R566274. Nelson. By Carola Oman, pseud. of Carola A. Lenanton. © 5Dec46; A8919. Carola A. Lenanton (A); 20Dec73; R566274.
fa70ac0a-9839-5ec4-b203-6443c0f55311	28	1	1	2810	Montague Free, illustrated with color photos & line drawings by Eva Melady, John Brimer & George Hollrock.	All about house plants, their selection, culture and propagation and how best to use them for decorative effect.	A9296	1946-12-12	R566275	1973-12-20	Maude H. Free|W						R566275. All about house plants, their selection, culture and propagation and how best to use them for decorative effect. By Montague Free, illustrated with color photos & line drawings by Eva Melady, John Brimer & George Hollrock. © 12Dec46; A9296. Maude H. Free (W); 20Dec73; R566275.
e0a0494a-0f67-587a-99e1-dfa3b403a39b	28	1	1	2810	Irving Kolodin.	New guide to recorded music.	A9336	1946-12-12	R566276	1973-12-20	Irving Kolodin|A		additions & revisions				R566276. New guide to recorded music. By Irving Kolodin. © on additions & revisions; 12Dec46; A9336. Irving Kolodin (A); 20Dec73; R566276.
802f1694-8623-5c9e-a38f-2c2e31bb48e4	28	1	1	2810	Allan D. Gruskin.	Painting in the U. S. A.	A9337	1946-12-12	R566277	1973-12-20	Mary J. Gruskin|W						R566277. Painting in the U. S. A. By Allan D. Gruskin. © 12Dec46; A9337. Mary J. Gruskin (W); 20Dec73; R566277.
2d27cc71-cac8-50db-bc7c-ab38857a7a00	28	1	1	2810	Booth Tarkington.	The Show piece. (In Hearst's International cosmopolitan, Dec. 1946)	B49970	1946-12-05	R566278	1973-12-20	Merchant's National Bank and Trust Company of Indianapolis|E						R566278. The Show piece. By Booth Tarkington. (In Hearst's International cosmopolitan, Dec. 1946) © 5Dec46; B49970. Merchant's National Bank and Trust Company of Indianapolis (E); 20Dec73; R566278.
ec531395-9c9a-52ca-aa48-e501467c066d	28	1	1	2810		Tales from Grimm. Retold by Sarah K. Wright, pseud. of Marguerite Vance, new format with illus. by Roberta Paflin.	A188708	1945-06-29	R566323	1973-06-25	Alexander R. Gillmor|E of the Estate of Marguerite Vance		rewritten tales, layout & illus.				R566323. Tales from Grimm. Retold by Sarah K. Wright, pseud. of Marguerite Vance, new format with illus. by Roberta Paflin. NM: rewritten tales, layout & illus. © 29Jun45; A188708. Alexander R. Gillmor (E of the Estate of Marguerite Vance); 25Jun73; R566323.
05cd641c-cbbb-5ec9-83b6-ebaab5f1ee54	28	1	1	2810	Eliot G. Cranch.	Kodak M and metallographic plates.	AA42439	1946-11-22	R566324	1974-01-02	Eastman Kodak Company|PWH						R566324. Kodak M and metallographic plates. By Eliot G. Cranch. © 22Nov46; AA42439. Eastman Kodak Company (PWH); 2Jan74; R566324.
f83d4f0c-c567-517b-8a4c-71db102056fa	28	1	1	2810	Frank Gruber.	Beagle scented murder.	A9499	1946-12-30	R566356	1974-01-04	Lois Gruber|W						R566356. Beagle scented murder. By Frank Gruber. © 30Dec46; A9499. Lois Gruber (W); 4Jan74; R566356.
28eefd72-b3f2-5f70-9452-b44cf0c3d4aa	28	1	1	2810		Atlas of the Dominion of Canada. Issued by C. S. Hammond and Company.	AA43267	1946-12-17	R566357	1973-12-26	Hammond, Inc.|PWH						R566357. Atlas of the Dominion of Canada. Issued by C. S. Hammond and Company. © 17Dec46; AA43267. Hammond, Inc. (PWH); 26Dec73; R566357.
d7b46d6c-eb3d-5e8c-afc3-7474575a3db0	28	1	1	2810	Andrew Thomas Weaver & Gladys Louise Borchers.	Speech.	A852	1946-01-02	R566358	1973-12-26	John Carrier Weaver|C||Gladys Louise Borchers|A						R566358. Speech. By Andrew Thomas Weaver & Gladys Louise Borchers. © 2Jan46; A852. John Carrier Weaver (C) & Gladys Louise Borchers (A); 26Dec73; R566358.
f489312f-d420-5105-b7b0-2696b9a2a064	28	1	1	2810	William N. Otto & Nat S. Finney.	Headlines and bylines; journalism for high schools.	A874	1946-01-02	R566359	1973-12-26	William C. Otto|C||Nat S. Finney|A						R566359. Headlines and bylines; journalism for high schools. By William N. Otto & Nat S. Finney. © 2Jan46; A874. William C. Otto (C) & Nat S. Finney (A); 26Dec73; R566359.
1766dab7-6354-5ccc-85f3-c8ffbbe1c6ae	28	1	1	2810	Christina Stead.	Letty Fox.	A8156	1946-10-03	R566360	1973-12-14	Christina Stead|A						R566360. Letty Fox. By Christina Stead. © 3Oct46; A8156. Christina Stead (A); 14Dec73; R566360.
e32fe343-46a0-5375-a89a-2089eb3568da	28	1	1	2810	Francis J. Tschan, Harold J. Grimm & J. Duane Squires, edited by Walter Consuelo Langsam.	The First and Second World Wars: war backgrounds edition of Western civilization, revised to the end of the Second World War.	A278	1945-12-28	R566384	1973-12-26	Harold J. Grimm|A						R566384. The First and Second World Wars: war backgrounds edition of Western civilization, revised to the end of the Second World War. By Francis J. Tschan, Harold J. Grimm & J. Duane Squires, edited by Walter Consuelo Langsam. © 28Dec45; A278. Harold J. Grimm (A); 26Dec73; R566384.
c75c00bd-35d2-5afe-aa63-be8d1b68e6a7	28	1	1	2810	Frances Lockridge & Richard Lockridge.	Murder within murder.	A500	1946-01-02	R566385	1973-12-26	Richard Lockridge|A						R566385. Murder within murder. By Frances Lockridge & Richard Lockridge. © 2Jan46; A500. Richard Lockridge (A); 26Dec73; R566385.
18b88307-0305-557b-880b-06b9add29cf8	28	1	1	2810	Frank W. Mason, illus. by Frank Beaudouin.	Flight into danger.	A688	1946-01-04	R566386	1973-12-26	Frank W. Mason|A						R566386. Flight into danger. By Frank W. Mason, illus. by Frank Beaudouin. © 4Jan46; A688. Frank W. Mason (A); 26Dec73; R566386.
26fdd88f-0d8e-5ff4-8fda-abc5cf4adf5f	28	1	1	2810	Joseph Leeming.	Fun with puzzles.	A689	1946-01-04	R566387	1974-01-02	Una M. Leeming|W||Avery Leeming Nagle & Joseph Leeming, 3rd|C						R566387. Fun with puzzles. By Joseph Leeming. © 4Jan46; A689. Una M. Leeming (W), Avery Leeming Nagle & Joseph Leeming, 3rd (C); 2Jan74; R566387.
4e682ff4-8ccd-5f64-8a6c-367be28ce3dc	28	1	1	2810	Felix Brentano.	Stage guide for The Hither and thither of Danny Dither.	AA42390	1946-12-11	R566391	1973-12-13	Edward B. Marks Music Corporation|PWH		stage guide.				R566391. Stage guide for The Hither and thither of Danny Dither. By Felix Brentano. NM: stage guide. © 11Dec46; AA42390. Edward B. Marks Music Corporation (PWH); 13Dec73; R566391.
f4443168-e1e7-5660-bab5-b7d64a4ac794	28	1	1	2810	Theodore H. White & Annalee Jacoby.	Thunder out of China.	A8035	1946-10-24	R566406	1973-11-12	Theodore H. White & Annalee Jacoby|A						R566406. Thunder out of China. By Theodore H. White & Annalee Jacoby. © 24Oct46; A8035. Theodore H. White & Annalee Jacoby (A); 12Nov73; R566406.
54971f29-c956-5f5f-9ca6-640620d9758e	28	1	1	2810	Jerry Siegel & Joe Shuster.	Superman. (In The Morning call, Paterson, NJ, Jan. 1, 1946)	A5-290	1946-01-01	R566407	1973-12-20	National Periodical Publications, Inc.|PWH						R566407. Superman. By Jerry Siegel & Joe Shuster. (In The Morning call, Paterson, NJ, Jan. 1, 1946) © 1Jan46; A5-290. National Periodical Publications, Inc. (PWH); 20Dec73; R566407.
ce3c374e-a764-5cc1-a229-18fb1aaa6fa4	28	1	1	2810			A5-291	1946-01-02	R566408	1973-12-20							R566408-566411. Superman. By Jerry Siegel & Joe Shuster. (In New York post, Jan. 2-5, 1946) © 2Jan46, A5-291; 3Jan46, A5-292; 4Jan46, A5-293; 5Jan46, A5-294. National Periodical Publications, Inc. (PWH); 20Dec73; R566408-566411.
ce3c374e-a764-5cc1-a229-18fb1aaa6fa4	28	1	1	2810			A5-292	1946-01-03	R566409	1973-12-20							R566408-566411. Superman. By Jerry Siegel & Joe Shuster. (In New York post, Jan. 2-5, 1946) © 2Jan46, A5-291; 3Jan46, A5-292; 4Jan46, A5-293; 5Jan46, A5-294. National Periodical Publications, Inc. (PWH); 20Dec73; R566408-566411.
ce3c374e-a764-5cc1-a229-18fb1aaa6fa4	28	1	1	2810			A5-293	1946-01-04	R566410	1973-12-20							R566408-566411. Superman. By Jerry Siegel & Joe Shuster. (In New York post, Jan. 2-5, 1946) © 2Jan46, A5-291; 3Jan46, A5-292; 4Jan46, A5-293; 5Jan46, A5-294. National Periodical Publications, Inc. (PWH); 20Dec73; R566408-566411.
ce3c374e-a764-5cc1-a229-18fb1aaa6fa4	28	1	1	2810			A5-294	1946-01-05	R566411	1973-12-20							R566408-566411. Superman. By Jerry Siegel & Joe Shuster. (In New York post, Jan. 2-5, 1946) © 2Jan46, A5-291; 3Jan46, A5-292; 4Jan46, A5-293; 5Jan46, A5-294. National Periodical Publications, Inc. (PWH); 20Dec73; R566408-566411.
02bcd1d1-376c-5fb2-a3c2-ed4ae8f0495d	28	1	1	2810	Jerry Siegel & Joe Shuster.	Superman. (In Sunday mirror, New York, Jan. 6, 1946)	A5-295	1946-01-06	R566412	1973-12-20	National Periodical Publications, Inc.|PWH						R566412. Superman. By Jerry Siegel & Joe Shuster. (In Sunday mirror, New York, Jan. 6, 1946) © 6Jan46; A5-295. National Periodical Publications, Inc. (PWH); 20Dec73; R566412.
56d6f4c5-6c4a-56f5-9c20-b7fd57266c35	28	1	1	2810			A5-297	1946-01-01	R566413	1973-12-20							R566413-566417. Batman and Robin. By Bob Kane. (In Daily mirror, New York, Jan. 1-5, 1946) © 1Jan46, A5-297; 2Jan46, A5-298; 3Jan46, A5-299; 4Jan46, A5-300; 5Jan46, A5-301. National Periodical Publications, Inc. (PWH); 20Dec73; R566413-566417.
