entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
9729e806-8a4a-5b00-86c9-6367ffa458a5	14	1	1	771	AGUILARD, ANDRE.	Le dictateur des sables, by Andre Armandy, pseud.	AF18847	1932-09-24	R250408	1960-01-19	Mme Andre Armandy, nee Berthe Mourlon|W					AGUILARD, ANDRE. Le dictateur des sables, by Andre Armandy, pseud. © 24Sep32; AF18847. Mme Andre Armandy, nee Berthe Mourlon (W); 19Jan60; R250408.
7bf7b9fd-54d6-53a8-9290-753d00837ee3	14	1	1	771	AIKEN, CONRAD.	This image or another, this quick choosing. (In The Nation, Dec. 28, 1932)	B177286	1932-12-21	R249590	1959-12-27	Conrad Aiken|A					AIKEN, CONRAD. This image or another, this quick choosing. (In The Nation, Dec. 28, 1932) © 21Dec32; B177286. Conrad Aiken (A); 27Dec59; R249590.
b3177045-7b8d-5cb0-93e0-fb9704d7f1f4	14	1	1	771	AKELEY, MARY L. JOBE.	Lions, gorillas and their neighbors, by Mary L. Jobe Akeley & Carl Akeley.	A56592	1932-10-14	R250915	1960-01-27	Mary L. Jobe Akeley|A					AKELEY, MARY L. JOBE. Lions, gorillas and their neighbors, by Mary L. Jobe Akeley & Carl Akeley. © 14Oct32; A56592. Mary L. Jobe Akeley (A); 27Jan60; R250915.
a0768550-40bd-50e1-bd53-bcc845eadde7	14	1	1	771	ALABAMA. SUPREME COURT.	Report of cases argued and determined in the Supreme Court of Alabama. Vol.225, October terms 1931-1932, 1932-1933. By Noble H. Seay, reporter of decisions.	A62069	1933-03-28	R255167	1960-04-04	State of Alabama|PWH					ALABAMA. SUPREME COURT. Report of cases argued and determined in the Supreme Court of Alabama. Vol.225, October terms 1931-1932, 1932-1933. By Noble H. Seay, reporter of decisions. © 28Mar33; A62069. State of Alabama (PWH); 4Apr60; R255167.
1e4d4269-7eee-554c-995a-886a8e6c0ddd	14	1	1	771		ALABAMA AND SOUTHERN DIGEST. Apr. 1933 cumulative pamphlet.	A61773	1933-04-05	R259882	1960-07-05	West Pub. Co.|PWH					ALABAMA AND SOUTHERN DIGEST. Apr. 1933 cumulative pamphlet. © 5Apr33; A61773. West Pub. Co. (PWH); 5Jul60; R259882.
ac7bcfa9-1165-513a-9129-bf6620ab5f6a	14	1	1	771		ALABAMA AND SOUTHERN DIGEST. 1932 cumulative annual pocket part for v.30. Table of cases digested and table of statutes construed.	A60235	1933-01-31	R255120	1960-04-04	West Pub. Co.|PWH					ALABAMA AND SOUTHERN DIGEST. 1932 cumulative annual pocket part for v.30. Table of cases digested and table of statutes construed. © 31Jan33; A60235. West Pub. Co. (PWH); 4Apr60; R255120.
1d77b1cc-a794-5b00-8486-14abebb9e36a	14	1	1	771		ALABAMA AND SOUTHERN DIGEST. Oct. 1932 cumulative pamphlet.	A55947	1932-10-05	R248912	1960-01-06	West Pub. Co.|PWH					ALABAMA AND SOUTHERN DIGEST. Oct. 1932 cumulative pamphlet. © 5Oct32; A55947. West Pub. Co. (PWH); 6Jan60; R248912.
cd6ff127-84bb-5662-968d-11e47d1f2da4	14	1	1	771		ALABAMA AND SOUTHERN REPORTER DIGEST, covering all cases reported in Alabama reports, Alabama appellate reports and Southern reporter. 1820 to date. Descriptive-word index.	A58874	1932-12-09	R249143	1960-01-06	West Pub. Co.|PWH					ALABAMA AND SOUTHERN REPORTER DIGEST, covering all cases reported in Alabama reports, Alabama appellate reports and Southern reporter. 1820 to date. Descriptive-word index. © 9Dec32; A58874. West Pub. Co. (PWH); 6Jan60; R249143.
a7eb560b-bbfe-539d-b867-d0cd4ec240ff	14	1	1	771	ALARCON, PEDRO ANTONIO DE.	El final de Norma. Edited with introd., foot-notes of unusual words & difficult constructions, vocabulary of words of high frequency, & exercises by Paul T. Manchester & Jose D. Hernandez. (The Century modern language series)	A62517	1933-04-21	R256824	1960-05-06	Paul T. Manchester|A	new matter				ALARCON, PEDRO ANTONIO DE. El final de Norma. Edited with introd., foot-notes of unusual words & difficult constructions, vocabulary of words of high frequency, & exercises by Paul T. Manchester & Jose D. Hernandez. (The Century modern language series) © on new matter; 21Apr33; A62517. Paul T. Manchester (A); 6May60; R256824.
2cbf4a0f-f43a-5f6f-9383-4ce58820e459	14	1	1	771	ALBANO, NICHOLAS.	Good morning judge.	A57200	1932-07-19	R249988	1960-01-12	Nicholas Albano|A					ALBANO, NICHOLAS. Good morning judge. © 19Jul32; A57200. Nicholas Albano (A); 12Jan60; R249988.
