volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	publ	note	full_text
					Federal rules decisions.  Vol. 31.	A629498	1931-05-31	RE542839	1991-08-19	West Publishing Company|PWH							
				Robert W. Buchheim and the staff of the Rand Corporation.	New space handbook; astronautics and its applications.	A692945	1963-12-31	RE552969	1991-11-18	Rand Corporation|PWH					Work was originally pub. 13Aug59 & reg. as A408294.		
				Karl Jaspers, English translation by J. Hoenig & Marian W. Hamilton.	Allgemeine Psychopathologies|General psychopathology.	TX3224043	1960-08-01	RE594504	1991-12-20	Manchester University Press|PWH						Translation of Allgemeine Psychopathologies.	
					The American Heritage book of Indians|The American Indian.  Adapted for young readers by Anne Terry White.	A655149	1963-08-29	RE539544	1991-08-09	American Heritage Publishing Company|PWH					Original bk. entitled The American Heritage book of Indians by William Brandon, edited by Alvin M. Josephy, Jr. prev. reg. 30Oct61, A530626.		
				William B. Wolf.	Cases and exercises in the management of personnel.	A554468	1962-03-15	RE524354	1991-01-31	William B. Wolf|A							
				Carolyn Sherwin Bailey.	Flickertail.	A565757	1962-05-02	RE521649	1991-12-30	Guy Ricklin|PPW							
				Jon Manchip White.	Marshal of France; the life & times of Maurice DeSaxe.	UCC work	1962-06-01	RE543098	1991-08-19	Jon Manchip White|A							
					Scott's Monthly stamp journal.  Vol. 43, no. 10, Jan. 1963.	B13685	1962-12-31	RE546414	1991-09-27	Scott Publishing Company|PCW							
				Horwitz Publications, Inc., Pty. Ltd., employer for hire--Shane Douglas, pseud.	Surgeon on call.	A626970	1963-03-13	RE522564	1991-02-06	Horwitz Grahame, Pty. Ltd.|PWH					Prev. reg. & pub. 10Oct62, AI-8116, renewed under RE 504-664.		
				Marguerite Duras, author of renewable matter: Anne Borchardt.	10:30 on a summer night.	A634881	1963-03-19	RE506859	1991-08-20	Marguerite Duras|PWH					Pub. abroad 26Oct62, AI-8349.		
				Horwitz Publications, Inc., Pty. Ltd., employer for hire--Shane Douglas, pseud.	The Doctor's past.	A646189	1963-06-03	RE522566	1991-02-06	Horwitz Grahame, Pty. Ltd.|PWH					Prev. pub. & reg. 12Dec62, AI-8176, renewed under RE 504-665.		
