entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	new_matter	see_also_ren	see_also_reg	note	full_text
74d0961b-00e3-4487-4252-6085398206bd					Channing L. Bete.	Yes, I like electric home heating.	A475473	1960-02-05	RE413245	1989-01-03	Channing L. Bete Company, Inc.|PWH					
837179b9-e0b2-5d09-bcd8-11916bcb91d3					Channing L. Bete.	Any fire-traps in your home?	A475476	1960-02-05	RE413247	1989-01-03	Channing L. Bete Company, Inc.|PWH					
f3b628f0-157a-d0cd-6824-827c8b7d4d42					John H. Wolfe, Everett R. Phelps.	Practical shop mathematics.  Vol. 2: advanced.	A431172	1960-02-11	RE413253	1989-01-03	Mary Ann Lindsay|NK||Richard D. Phelps|C||Charlotte Louise Paner|C					
318134ea-119e-f103-9f0e-1357f239eb5d						Emerson's translation of the Vita nuova.  Editor: J. Chelsey Mathews.	A476414	1960-02-27	RE413649	1989-01-03	J. Chelsey Mathews|A					
0b5fc8ea-3054-586f-dbf3-4b8df7ed9d47						Pepe Moreno.  Text: Eric Allen.	A441532	1960-03-14	RE413209	1989-01-03	Eric Allen|A					
c14aa8bb-059e-56d2-667e-155b78bf1f5c					Channing L. Bete.	What everyone should know about the constitution.	A475477	1960-03-16	RE413248	1989-01-03	Channing L. Bete Company, Inc.|PWH					
db458cb2-807e-3da6-1bec-88f576a127e9						Black desire in blue Venice.	DU50641	1960-03-16	RE427419	1989-01-03	Edward Kinchley Evans, Jr.|A					
a4c1193c-e143-d2b9-9e11-1fa0470e40c3					R. J. Martin a.k.a. Jerry Gladstone.	A Theological light in dark corners; a play in one act and six scenes.	DU50656	1960-03-17	RE412992	1989-01-03	Betty L. Gladstone|W					
c14ec6d1-96cf-ca9b-f03f-17c8b953b4ac						Starlight.  Text: Esme Hamilton.	A441217	1960-03-24	RE413206	1989-01-03	Esme Hamilton|A					
3a82db05-f16f-ad8a-70d5-cae958f96f8f						Hollow glory.  Text: Samuel Shihor, translator: Julian L. Meltzer.	A445557	1960-03-25	RE413210	1989-01-03	Samuel Shihor|A					
ebfaea64-8dbe-336f-dee9-a4940c1c6f5c						Children at Moyinish.  Text: Esme Hamilton.	A441237	1960-03-28	RE413208	1989-01-03	Esme Hamilton|A					
