volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
31	1A	1	2	Arthur W. Upfield.	The Mountains have a secret.		A25122	1948-08-19	R612771	1975-08-29	James Arthur Upfield|C						R612771. The Mountains have a secret. By Arthur W. Upfield. © 19Aug48; A25122. James Arthur Upfield (C); 29Aug75; R612771.
31	1A	1	2	General Electric Supply Corporation.	Traffic appliances and radio.		AA129622	1949-09-16	R647205	1976-11-26	Weinberg and McKee, Inc.|PWH						R647205. Traffic appliances and radio. By General Electric Supply Corporation. © 16Sep49; AA129622. Weinberg and McKee, Inc. (PWH); 26Nov76; R647205.
31	1A	1	2	Albertus Pieters.	Divine Lord and Saviour.		A31882	1949-01-31	R648017	1976-12-09	Albertus Pieters|A						R648017. Divine Lord and Saviour. By Albertus Pieters. © 31Jan49; A31882. Albertus Pieters (A); 9Dec76; R648017.
31	1A	1	2	Benjamin Farrington.	Francis Bacon: philosopher of industrial science.		A38638	1949-11-22	R649703	1976-12-15	Abelard-Schuman|formerly Henry Schuman, Inc.|||PWH						R649703. Francis Bacon: philosopher of industrial science. By Benjamin Farrington. © 22Nov49; A38638. Abelard-Schuman (formerly Henry Schuman, Inc.) (PWH); 15Dec76; R649703.
31	1A	1	2	Maurice U. Ames & Bernard Jaffe.	Laboratory and workbook units in chemistry; consumable ed.		AA117148	1949-05-07	R649884	1976-12-28	Bernard Jaffe|A		revisions				R649884. Laboratory and workbook units in chemistry; consumable ed. By Maurice U. Ames & Bernard Jaffe. © on revisions; 7May49; AA117148. Bernard Jaffe (A); 28Dec76; R649884.
31	1A	1	2		"Three scenes from the film ""Bicycle thief."" (In The Christian Science monitor, Dec. 28, 1949)"		B224125	1949-12-28	R650151	1977-01-03	Produzioni De Sica. S. A. R. L.|PWH						"R650151. Three scenes from the film ""Bicycle thief."" (In The Christian Science monitor, Dec. 28, 1949) © 28Dec49; B224125. Produzioni De Sica. S. A. R. L. (PWH); 3Jan77; R650151."
31	1A	1	3														R650178. Cordelia; a novel. By Winston Graham. U.S. ed. pub. 19Jan50, A40152. © 3May49; AIO-36. Winston Graham (A); 23Dec76; R650178.
31	1A	1	3	Jean Stafford.	Letter from Germany. (In New Yorker. Dec. 3. 1949)		B220276	1949-12-01	R650180	1976-12-28	Jean Stafford|A						R650180. Letter from Germany. By Jean Stafford. (In New Yorker. Dec. 3. 1949) © 1Dec49; B220276. Jean Stafford (A); 28Dec76; R650180.
31	1A	1	3	Edmund Wilson.	A Revival of Ronald Firbank. (In New Yorker, Dec. 10, 1949)		B221692	1949-12-08	R650181	1976-12-28	Elena Wilson|W						R650181. A Revival of Ronald Firbank. By Edmund Wilson. (In New Yorker, Dec. 10, 1949) © 8Dec49; B221692. Elena Wilson (W); 28Dec76; R650181.
31	1A	1	3	Peter Taylor.	Uncles; story. (In New Yorker, Dec. 17, 1949)		B222799	1949-12-15	R650182	1976-12-28	Peter Taylor|A						R650182. Uncles; story. By Peter Taylor. (In New Yorker, Dec. 17, 1949) © 15Dec49; B222799. Peter Taylor (A); 28Dec76; R650182.
31	1A	1	3	Randall Jarrell.	B. H. Higgin. (In Nation, Dec. 17, 1949)		B222994	1949-12-15	R650183	1976-12-28	Mary Von Schrader Jarrell|W						R650183. B. H. Higgin. By Randall Jarrell. (In Nation, Dec. 17, 1949) © 15Dec49; B222994. Mary Von Schrader Jarrell (W); 28Dec76; R650183.
31	1A	1	3	Edmund Wilson.	Knight's gambit. (In New Yorker, Dec. 24, 1949)		B223739	1949-12-22	R650184	1976-12-28	Elena Wilson|W						R650184. Knight's gambit. By Edmund Wilson. (In New Yorker, Dec. 24, 1949) © 22Dec49; B223739. Elena Wilson (W); 28Dec76; R650184.
31	1A	1	3	Edmund Wilson.	W. E. Henley. (In New Yorker, Dec. 24, 1949)		B223739	1949-12-22	R650185	1976-12-28	Elena Wilson|W						R650185. W. E. Henley. By Edmund Wilson. (In New Yorker, Dec. 24, 1949) © 22Dec49; B223739. Elena Wilson (W); 28Dec76; R650185.
31	1A	1	3	Aldous Huxley.	Death and the baroque. (In Harper's magazine, Apr. 1949)		B188507	1949-04-06	R650189	1976-12-16	Laura A. Huxley|W						R650189. Death and the baroque. By Aldous Huxley. (In Harper's magazine, Apr. 1949) © 6Apr49; B188507. Laura A. Huxley (W); 16Dec76; R650189.
31	1A	1	3	Chester Bowles.	The Conscience of a liberal. (In The New York times, July 24, 1949)		B201477	1949-07-24	R650190	1976-12-16	Chester Bowles|A						R650190. The Conscience of a liberal. By Chester Bowles. (In The New York times, July 24, 1949) © 24Jul49; B201477. Chester Bowles (A); 16Dec76; R650190.
31	1A	1	3	Arnold Rose, with a foreword by Gunnar Myrdal. A condensation of An American dilemma by Gunnar Myrdal with the assistance of Richard Sterner & Arnold Rose.	The Negro in America.		A23601	1948-06-23	R650191	1976-05-27	Caroline Rose|W		condensation, revisions, additions & foreword.				R650191. The Negro in America. By Arnold Rose, with a foreword by Gunnar Myrdal. A condensation of An American dilemma by Gunnar Myrdal with the assistance of Richard Sterner & Arnold Rose. NM: condensation, revisions, additions & foreword. © 23Jun48; A23601. Caroline Rose (W); 27May76; R650191.
31	1A	1	3	Thomas Edward Maytham.	Introduction to advertising principles and practice.		A23595	1948-01-09	R650192	1976-05-27	Thomas Maytham|C						R650192. Introduction to advertising principles and practice. By Thomas Edward Maytham. © 9Jan48; A23595. Thomas Maytham (C); 27May76; R650192.
