entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
7b634582-d384-5c01-9902-a8fe6f134938	15	1	1	1	ABBOTT, JANE.	Fiddler's coin.	A74057	1934-06-13	R277829	1961-06-19	Jane Abbott|A						ABBOTT, JANE. Fiddler's coin. © 13Jun34; A74057. Jane Abbott (A); 19Jun61; R277829.
2da8178b-d34a-517b-9013-dcadeb75e803	15	1	1	1	ABBOTT, JANE.	Miss Jolley's family.	A63290	1933-04-24	R260747	1960-07-28	Jane Abbott|A						ABBOTT, JANE. Miss Jolley's family. © 24Apr33; A63290. Jane Abbott (A); 28Jul60; R260747.
7d7853a4-6aab-5a0b-832c-74de42234d12	15	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1933 cumulative annual pocket parts for volumes 1-40.	A69589	1934-01-23	R274063	1961-04-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1933 cumulative annual pocket parts for volumes 1-40. © 23Jan34; A69589. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 5Apr61; R274063.
17a2781c-3399-5829-9587-a0ef705e4290	15	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. October 1933 cumulative quarterly pamphlet.	A68174	1933-10-16	R269438	1961-01-12	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. October 1933 cumulative quarterly pamphlet. © 16Oct33; A68174. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 12Jan61; R269438.
4e893dcc-3015-5ba6-98b0-08f5bee75dca	15	1	1	1	ABDULLAH, ACHMED.	Love comes to Sally.	A62620	1933-05-10	R274600	1961-04-13	Mrs. Neill McLaurin Coney|W						ABDULLAH, ACHMED. Love comes to Sally. © 10May33; A62620. Mrs. Neill McLaurin Coney (W); 13Apr61; R274600.
9b0432cb-9d8c-579a-9be5-07581e074abf	15	1	1	1	ABRAHAM, ROBERT MORRISON.	Winter nights entertainments. Illustrated by the author. Introd. by Lord Baden Powell of Gilwell.	A65118	1933-08-22	R269207	1961-01-11	R. M. Abraham|A						ABRAHAM, ROBERT MORRISON. Winter nights entertainments. Illustrated by the author. Introd. by Lord Baden Powell of Gilwell. © 22Aug33; A65118. R. M. Abraham (A); 11Jan61; R269207.
671db923-fcaa-56b0-b861-de4e5a14132d	15	1	1	2	ADAMS, JAMES TRUSLOW.	The epic of America. Illustrated by M. J. Gallagher. Rev. ed.	A65980	1933-11-03	R271709	1961-03-01	Mrs. James Truslow Adams|W						ADAMS, JAMES TRUSLOW. The epic of America. Illustrated by M. J. Gallagher. Rev. ed. © 3Nov33; A65980. Mrs. James Truslow Adams (W); 1Mar61; R271709.
6264dad0-f4ef-598d-be4a-ebdfb9a50d66	15	1	1	2	ADAMS, LEONIF.	This measure. George Plauk, illustrator. (Borzoi chap books, no.7)	AA135558	1933-12-04	R277196	1961-06-07	Leonie Adams|A						ADAMS, LEONIF. This measure. George Plauk, illustrator. (Borzoi chap books, no.7) © 4Dec33; AA135558. Leonie Adams (A); 7Jun61; R277196.
1e5b5ebc-47f1-5214-8b52-bd33d90cce5f	15	1	1	2	ADAMS, ROGER.	Elementary laboratory experiments in organic chemistry, by Roger Adams & John R. Johnson. Rev. ed.	A60122	1933-02-01	R269727	1961-01-19	Roger Adams & John R. Johnson|A						ADAMS, ROGER. Elementary laboratory experiments in organic chemistry, by Roger Adams & John R. Johnson. Rev. ed. © 1Feb33; A60122. Roger Adams & John R. Johnson (A); 19Jan61; R269727.
2a18afa3-3c48-5144-923e-e9a9168480ea	15	1	1	2	ADAMS, SAMUEL HOPKINS.	Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933)	B185393	1933-03-21	R272780	1961-03-20	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. Bells at night. Pt.4-5. (In Illustrated love magazine. May-June 1933) © 21Mar33, B185393; 20Apr33, B188400. Hester H. Adams & Kathrine A. Adell (C); 20Mar61; R272780-272781.
