entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
a5506323-f3e1-b8c7-3e43-e20389351591					Alfred E. Phelps, ill.: James MacDonald.	Your arthritis: what you can do about it.	A102164	1953-06-03	RE105113	1981-11-09	Mary Harlem|C	Prev. pub.|1943-06-06|A173541				renewed 9Jun71, R507082.	
b9138494-3b07-e3eb-5324-d9c4f80a8a36					William Sansom.	The Passionate North.	A112753	1953-11-05	RE105083	1981-11-05	Ruth E. Sansom|W||Nicolas Sansom|C	Pub. abroad|1950-10-23|AIO-788					
8758341e-63e7-8aa0-3772-7479172a7897					Peter Freuchen & Johan Hambro.	Vagrant Viking: my life & adventures.	A114275	1951-11-02	RE105687	1981-11-13	Mrs. Peter Freuchen|W						
b08947a7-8c0e-100f-e673-075b81a72652					James Ramsey Ullman.	Girl on horseback|Island of the blue macaws.	A90854	1953-04-27	RE104846	1981-11-03	Marion B. Ullman|W	Island of the blue macaws pub. abroad|1952-11-15|AI-3708					
b08947a7-8c0e-100f-e673-075b81a72652					James Ramsey Ullman.	Girl on horseback|Island of the blue macaws.	AI3708	1952-11-15	RE104846	1981-11-03	Marion B. Ullman|W	Island of the blue macaws pub. abroad|1952-11-15|AI-3708					
52f99135-eb4a-5bc3-b827-f3b193d0bb64					L. Ron Hubbard.	The Discovery and increase of life energy.  Scientology 8-8008.	AI3820	1952-12-10	RE124799	1981-12-28	L. Ron Hubbard|A						
2646a7e9-7876-ea95-8e19-0bbf78a85e6e						Menninger Clinic.  Bulletin.  Vol. 17, no. 1, Jan. 1953.	B395038	1952-12-24	RE78777	1981-01-15	The Menninger Foundation|PCW						
db2e9c8b-753c-4dca-3186-fc7d22f1807d						Billboard.  Vol. 65, no. 1, Jan. 3, 1953.	B396261	1952-12-29	RE77151	1981-01-05	Billboard Publications, Inc.|PCW						
116e19d3-b9ee-0bdf-c607-421f3a2cee5e						Esquire.  Vol. 39, no. 2, Feb. 1953.	B402828	1952-12-29	RE80544	1981-01-15	Esquire Publishing, Inc.|PCW						
e8430e33-5382-62e2-8019-bd19dc20c586					Daphne DuMaurier (Daphne DuMaurier Browning)	The Old man.	B5-23202	1953-01-09	RE93087	1981-02-12	Daphne DuMaurier Browning|A	Pub. abroad|1952-08-05|AIO-2378					
