entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
4111fba3-5d7e-053d-7768-85ef9c8eab74						South Eastern reporter, second series.  Vol. 158, no. 6, Feb. 22, 1968.	B409869	1930-02-21	RE736768	1996-10-21	West Publishing Company|PWH						
3a86c84a-14c9-8ce6-02f6-6157db9e0cb2						South Eastern reporter, second series.  Vol. 159, no. 4, Mar. 21, 1968.	B416584	1930-03-20	RE736789	1996-10-21	West Publishing Company|PWH						
471ed1b8-73a6-3781-fcae-424747d34c3e						South Eastern reporter, second series.  Vol. 159, no. 6, Apr. 4, 1968.	B418847	1930-04-03	RE736790	1996-10-21	West Publishing Company|PWH						
