entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	new_matter	see_also_ren	see_also_reg	note	full_text
bd223587-dea4-78df-d6b4-feb7f2c72d60					Ernest Jones.	Hamlet and Oedipus.	A142152	1954-06-03	RE117859	1982-01-15	Merwyn Jones|C				Pub. abroad 13Jun49|AI-2322.	
cbc90846-e352-d2df-4d86-abce625934b0					Winston Graham.	Venture once more.	A136477	1954-05-06	RE129170	1982-01-15	Winston Graham|A				Pub. abroad 27Oct50, AIO-913, renewed as R682436.	
cbc90846-e352-d2df-4d86-abce625934b0					Winston Graham.	Venture once more.	AIO-913	1950-10-27	RE129170	1982-01-15	Winston Graham|A				Pub. abroad 27Oct50, AIO-913, renewed as R682436.	
3f27dfb2-fbc9-4bc4-dec5-f82ed4467f50					Adrian Conan Doyle & John Dickson Carr.	The Exploits of Sherlock Holmes.	A128354	1954-03-02	RE132419	1982-06-25	Anna Conan Doyle|W				Portions prev. pub. in the 29Dec52 issue of Life magazine & in Collier's magazine from May-Oct. 1953.	
858f7817-96d7-70e4-5914-098b3deccee1					Irving Glickman.	Clinical periodontology: the periodontium in health and disease; recognition, diagnosis and treatment of periodontal disease in the practice of general dentistry.	A76805	1953-01-30	RE126117	1982-04-12	Alan Richard Glickman|C||Denise F. Glickman|C					
ec0ed8fb-1339-d8e6-6e61-8af1f78d2262						Vogue pattern book.  Vol. 28, no. 3 [i.e. 5], Apr.-May 1954.	B463192	1953-03-09	RE123427	1982-03-04	The Conde Nast Publications, Inc.|PCW					
a2a98597-c0be-a9b2-11ec-5c4a278930e4						Vogue pattern book.  Vol. 28, no. 6, June-July 1954.	B473905	1953-05-07	RE123428	1982-03-04	The Conde Nast Publications, Inc.|PCW					
2d6f9422-acba-122e-8e6d-40809a7790a3						Vogue pattern book.  Vol. 29, no. 1, Aug.-Sept. 1954.	B489243	1953-07-27	RE123429	1982-03-04	The Conde Nast Publications, Inc.|PCW					
80fddad3-5b24-0d0b-1c24-3adebf3d48cf						Galileo Galilei, Dialogue on the great world systems.  Editor: Giorgio DeSantillana.	A103193	1953-08-07	RE121018	1982-02-25	Denis Maguire|E					
436f371b-8875-0eef-175a-dad4e0f0d4e2					Heinrich Harrer & Richard Graves, with an introd. by Peter Fleming & illus. wih 40 pages of photos.	Seven years in Tibet.	A124648	1954-02-04	RE119209	1982-02-05	Heinrich Harrer|A				In notice: 1953	
436f371b-8875-0eef-175a-dad4e0f0d4e2					Heinrich Harrer & Richard Graves, with an introd. by Peter Fleming & illus. wih 40 pages of photos.	Seven years in Tibet.	AI3915	1953-09-11	RE119209	1982-02-05	Heinrich Harrer|A				In notice: 1953	
1b0ab597-1fe9-f4c1-4b0b-bbd7a606beef					Harry Grossett.	Down to the ships in the sea.	A148743	1954-08-04	RE115270	1982-01-19	Harry Grossett|A					
1b0ab597-1fe9-f4c1-4b0b-bbd7a606beef					Harry Grossett.	Down to the ships in the sea.	AIO4121	1953-10-05	RE115270	1982-01-19	Harry Grossett|A					
9eaa35e9-1665-fa7a-78ea-b4f3ae9a8712						The New York times index.  Vol. 41, no. 22, Nov. 16-30, 1953.  Editor: Joseph C. Gephart.	A120071	1953-12-30	RE115802	1982-01-18	The New York Times Company|PWH					
393dd22d-bddc-67f8-4f83-4cf4cc8fedc6						Phylon; the Atlanta University review of race and culture.  Vol. 14, no. 4, 4th quarter 1953.	B459338	1953-12-31	RE123751	1982-03-08	Atlanta University|PCW					
eed257ba-c4e0-7ac9-2fc2-6dab1e7f77b5					Sybille Bedford.	The Sudden view, a Mexican journey.	A121195	1954-01-06	RE115235	1982-01-22	Sybille Bedford|A				Pub. abroad 23Feb53, AIO-3012.	
eed257ba-c4e0-7ac9-2fc2-6dab1e7f77b5					Sybille Bedford.	The Sudden view, a Mexican journey.	AIO-3012	1953-02-23	RE115235	1982-01-22	Sybille Bedford|A				Pub. abroad 23Feb53, AIO-3012.	
f989586f-8b11-989b-998b-a2b8d0b5816e					James Thomas Dugan.	The Great iron ship.	A122691	1954-01-20	RE122587	1982-01-27	Ruth Dugan|M				Pub. abroad 13Nov53, AI-3945.	
f989586f-8b11-989b-998b-a2b8d0b5816e					James Thomas Dugan.	The Great iron ship.	AI-3945	1953-11-13	RE122587	1982-01-27	Ruth Dugan|M				Pub. abroad 13Nov53, AI-3945.	
d21312a2-0680-d4c8-2eb0-1c0bbdd30ef6					C. E. T. Warren & James Benson.	Above us the waves|The Midnight raiders; the wartime story of human torpedos and midget submarines.	A128987	1954-01-20	RE144170	1982-11-17	C. E. T. Warren|A||James Benson|A				Pub. abroad as Above us the waves, 21Sep53, AIO-3990.	
d21312a2-0680-d4c8-2eb0-1c0bbdd30ef6					C. E. T. Warren & James Benson.	Above us the waves|The Midnight raiders; the wartime story of human torpedos and midget submarines.	AIO-3990	1953-09-21	RE144170	1982-11-17	C. E. T. Warren|A||James Benson|A				Pub. abroad as Above us the waves, 21Sep53, AIO-3990.	
77d486a8-e08f-a307-ece5-a0880f4ebea7					Vera Gough.	Speaking is your business|You're the speaker; a handbook on effective speaking for all business and social occasions.	A131004	1954-01-20	RE141202	1982-11-04	Vera Gough|A				Pub. abroad as Speaking is your business, 21May53, AIO-3456.	
77d486a8-e08f-a307-ece5-a0880f4ebea7					Vera Gough.	Speaking is your business|You're the speaker; a handbook on effective speaking for all business and social occasions.	AIO-3456	1953-05-21	RE141202	1982-11-04	Vera Gough|A				Pub. abroad as Speaking is your business, 21May53, AIO-3456.	
3c580948-2f9a-6821-fd53-3606f0b526ff					Richard Gordon (Richard Gordon Ostlere)	Doctor at sea.	A122792	1954-01-21	RE143140	1982-07-01	Richard Gordon Ostlere|A				Pub. abroad 23Feb53, AIO-3077.	
3c580948-2f9a-6821-fd53-3606f0b526ff					Richard Gordon (Richard Gordon Ostlere)	Doctor at sea.	AIO-3077	1953-02-23	RE143140	1982-07-01	Richard Gordon Ostlere|A				Pub. abroad 23Feb53, AIO-3077.	
cd11b693-1988-5d82-475b-dcc3af11373e					Alan Moorhead.	Rum jungle.	A124659	1954-02-02	RE142946	1982-11-08	Alan Moorhead|A				Originally pub. in The New Yorker|pub. abroad 8Oct53, AIO-3720.	
cd11b693-1988-5d82-475b-dcc3af11373e					Alan Moorhead.	Rum jungle.	AIO-3720	1953-10-08	RE142946	1982-11-08	Alan Moorhead|A				Originally pub. in The New Yorker|pub. abroad 8Oct53, AIO-3720.	
62150793-b58e-dc29-82c8-7288bc08ce00					Marcel Ayme, translated from the French by Norman George Denny.	The Secret stream.	A124107	1954-02-03	RE122194	1982-02-11	Editions Gallimard|PWH				Pub. abroad 23Feb53|AI-3877.	
d0ffd05a-5043-7374-6ffe-1eef710ce627					Patrick Leigh Fermor.	The Violins of Saint-Jacques; a tale of the Antilles.	A126673	1954-02-17	RE153709	1982-10-14	Patrick Leigh Fermor|A				Appl. states work also pub. 22Apr53, AI-3840.	
d0ffd05a-5043-7374-6ffe-1eef710ce627					Patrick Leigh Fermor.	The Violins of Saint-Jacques; a tale of the Antilles.	AI-3840	1953-04-22	RE153709	1982-10-14	Patrick Leigh Fermor|A				Appl. states work also pub. 22Apr53, AI-3840.	
e4d1444e-ca4d-0b14-9f7a-93af16688071					Samuel Taylor.	Sabrina fair.	DP1692	1954-02-18	RE123909	1982-02-26	Samuel Taylor|A				Reg. as unpub. work 21Jan53, DU32979.	
ff52dd84-f81f-8a3d-6c27-bb99ea8f8c24					Karl Heim, translated by W. A. Whitehouse.	The Transformation of the scientific world view.	A128185	1954-03-03	RE122195	1982-02-11	Harper & Row, Publishers, Inc.|PWH				Pub. abroad 17Mar53|AI-3818.	
fbed5a95-3da8-5217-f174-d549fef0e119					Patrick R. Reid.	Men of Colditz.	A130133	1954-03-16	RE132558	1982-07-08	P. R. Reid|A				Pub. abroad 19Nov53, AIO-3918, renewed as RE 104-892.	
fbed5a95-3da8-5217-f174-d549fef0e119					Patrick R. Reid.	Men of Colditz.	AIO-3918	1953-11-19	RE132558	1982-07-08	P. R. Reid|A				Pub. abroad 19Nov53, AIO-3918, renewed as RE 104-892.	
5e0b93aa-9971-c009-34d0-25cc53fdf828					Leslie D. Weatherhead.	That immortal sea.	A134774	1954-04-05	RE149496	1982-12-22	Lorna Caunt|C||A. D. Weatherhead|C||A. K. Weatherhead|C				Pub. abroad 22Oct53, AI-3959.	
5e0b93aa-9971-c009-34d0-25cc53fdf828					Leslie D. Weatherhead.	That immortal sea.	AI-3959	1953-10-22	RE149496	1982-12-22	Lorna Caunt|C||A. D. Weatherhead|C||A. K. Weatherhead|C				Pub. abroad 22Oct53, AI-3959.	
c2cab825-c6ac-d443-26cf-5bd245b0aff6						The Silver curlew.  Text by Eleanor Farjeon, ill. by Ernest Shepard.	A133305	1954-04-09	RE121872	1982-01-22	Eleanor Farjeon|A				Pub. abroad 2Jul53|AIO-3657.	
2ede9700-442e-b141-6970-7cd42c9c9112					Evelyn Ernest Percy Tisdall.	Alexandra: Edward VII's unpredictable queen.	A134279	1954-04-12	RE144115	1982-11-09	Evelyn Ernest Percy Tisdall|A				Pub. in England under title Unpredictable queen, 28Sep53, AI0-3723.	
d5d8f6d9-432c-3a6d-beb4-efb40ea1dbbf					S. L. A. Marshall, translated by Lynton Hudson.	Kesselring: a soldier's record by Albert Kesselring.	A136024	1954-04-14	RE140644	1982-10-25	Cate Marshall|W				Pub. abroad 16Nov53, AI-3989|RE 111-598.	
