entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
63749ca5-a589-cb31-804b-b0926fe5ae47					Henry Cecil Leon.	The Long arm.	A320634	1958-01-22	RE301770	1986-06-30	B. Leon|W	Pub. abroad|1957-02-18|AIO-7447				renewed RE 250-220.	
3780b53c-934a-afa1-0d10-5f6d43f658bc					Gunnar Myrdal, planned and edited by Ruth Nanda Anshen.	Economic theory and under-developed regions|Rich lands and poor; the road to world prosperity.	A321205	1958-01-22	RE308206	1986-10-28	Gunnar Myrdal|A	First pub. in England as Economic theory and under-developed regions,|1957-05-30|AI-5752					
a00d1338-fad3-8ef3-6a17-e452001e8ccd					Cecil Day Lewis.	Pegasus and other poems.	A322580	1958-02-05	RE289043	1986-03-10	Jill Day-Lewis|W	Pub. in England under same title|1957-06-08|AIO-7755					
8832cca4-422d-8889-1fbf-588a23ea4400					Percy Measday Soderberg & Muzzie, pseud. of Oscar George Nelson.	The Care of your cat.	A322583	1958-02-05	RE310365	1986-11-07	Eleanor Mary Odling|E	Pub. abroad|1957-08-15|AI-5657				renewed as RE 271-901.	
0fa4428a-796f-3bf2-c3b6-22d8fc2ffa52					Egon Hostovsky, translated by Philip H. Smith, Jr.	The Charity ball.	A322326	1958-02-06	RE277486	1986-01-06	Regina Hostovsky|PWH	Pub. abroad|1957-01-14|AI-5365				renewed RE 244-502.	
1ee56449-23d3-caed-0895-24cdf7be45de					Kay Cicellis (Catherine-Mathilde Cicellis Paleologos)	Ten seconds from now.	A329774	1958-02-18	RE299819	1986-07-21	Kay Cicellis|A	Pub. abroad|1957-05-27|AIO-7848				renewed as RE 255-697.	
c9c9fe14-8517-3f21-1bf8-53d5a1f5d0ce					Joyce Cary.	First trilogy.|Horse's mouth	A333589	1958-02-19	RE288871	1986-03-10	Lucius Cary|PPW	Includes Horse's mouth pub. abroad|1957-11-18|AF15553					
426b5433-a9ed-6fbf-4dea-ae0ee45f8c0c					Charity Blackstock, pseud. of Ursula Torday.	Miss Fenny.|The Woman in the woods.	A325740	1958-02-20	RE277489	1986-01-06	Ursula Torday|A	Pub. abroad|1957-08-29|AI-5858				renewed RE 244-515.	
603cbb21-9409-07cf-bc8d-3555e5044f65					Fred Hoyle.	The Black cloud.	A327106	1958-03-05	RE288889	1986-03-11	Fred Hoyle|A	Pub. abroad|1957-09-16|AI-5709				renewed RE 242-675.	
bd0b35a2-e84b-7101-96e1-ee14b70085e1					Josephine Bell, pen name of Doris Bell Ball.	Double doom.	A326414	1958-03-11	RE301343	1986-07-28	Doris Bell Ball|A	Pub. abroad|1957-08-01|AIO-7979				renewed RE 256-141.	
600a04b4-1de2-7ef8-ff79-fb576af38b61					Noel Streatfeild, ill.: Richard Floethe.	Dancing shoes.|Wintle's wonders.	A330356	1958-03-11	RE282829	1986-01-27	Noel Streatfeild|A||Random House, Inc.|PWH	Pub. abroad|1957-10-21|AIO-8283					
069d6f66-e80d-3c78-2b60-27a223743738					Mary O'Connor.	Thy wedded husband.	A330475	1958-03-12	RE306409	1986-10-02	Patrick McCarthy O'Connor|Wr	Pub. abroad|1957-02-12|AIO-7919				renewed as RE 266-507.	
6a257417-8c5e-ff0d-daac-4b2340cffde1					Aldous Huxley.	Collected short stories.	A329826	1958-03-19	RE284091	1986-01-31	Laura Huxley|W	Pub. abroad|1957-06-11|AI-5764				renewed RE 260-040.	
9a9ea8ef-d6be-7789-bcf7-017c9eeaf0f8					Ivy Compton-Burnett.	A Father and his fate.	A330332	1958-03-24	RE301771	1986-06-30	Anthony Compton-Burnett|E	Pub. abroad|1957-08-12|AIO-7978				renewed RE 257-220.	
1e309f0d-bbe3-4b25-3766-a7a2560ac367					Jorgen Andersen-Rosendal, translators: Eiler Hansen & J. F. Burke.	The Moon of beauty.	A333421	1958-03-24	RE283568	1986-01-16	Jorgen Andersen-Rosendal|PWH	Pub. abroad|1957-09-23|AIO-8069					
575e5cb1-0179-af35-ea38-372e293f6f78					A. Rutgers VanDerLoeff-Bassenau, translation:  Dora Round.	Avalanche!	A336283	1958-04-16	RE319189	1986-12-29	Dora Round|A	Prev. pub.|1957-09-12|AIO-8334					
89815484-8dde-8a0b-2f51-c9ca2b5100fb					Julian Callender, pseud. of Austin Lee.	St. Dingan's bones.	A408693	1958-04-29	RE316304	1986-12-24	Hilda Lee|W	Pub. abroad.|1957-01-31|AIO-7566				renewed as RE 272-051.	
51d5e79f-dc3b-5a6f-96f3-744538281e76					Harold Nicolson.	Journey to Java.	A336052	1958-05-01	RE277548	1986-01-06	Nigel Nicolson|C	Pub. abroad|1957-11-21|AIO-8232				renewed RE 244-328.	
f93aa123-95e9-1ddc-7bd1-e041dc94095c					John Fores.	No mercy in the sky.|The Human element.	A338152	1958-05-15	RE294859	1986-05-12	John Fores|A	Pub. abroad|1957-08-29|AIO-8229					
bfc5892d-2ea5-769e-24a1-2c10ae6d2147						Mitsou.  Original French text by Colette, pseud. of Sidonie-Gabrielle Goudeket, English translation by Raymond Postgate.	A369061	1958-05-20	RE312984	1986-12-16	Farrar, Straus and Giroux, Inc.|PWH	Pub. abroad|1957-07-01|AI-5781				renewed RE 256-767.	
7238e04f-4e3a-6e98-019f-55e45370acd3						Music hall sidelights.  Original French text by Colette, pseud. of Sidonie-Gabrielle Coudeket [i.e. Goudeket], English translation by Anne-Marie Callimachi.	A369062	1958-05-20	RE312985	1986-12-16	Farrar, Straus and Giroux, Inc.|PWH	Pub. abroad|1957-08-19|AI-5778				renewed RE 256-766.	
b8844dbd-5f9b-abc3-fe54-137f5ae57a4d					Doris Lessing.	The Habit of loving.	A356644	1958-06-09	RE296682	1986-06-13	Doris Lessing|A	Pub. abroad|1957-11-18|AI-5875					
fef167a1-d5d5-13b6-3104-33b1f0ea9294					Hilda F. M. Prescott.	Once to Sinai.	A343297	1958-06-24	RE307047	1986-09-11	J. W. Prescott|NK||Mrs. S. C. Thedinga|NK	Pub. abroad|1957-09-19|AIO-8092				renewed RE 275-853.	
ee858578-64af-ebaf-1f02-1177857b9626					Rose Franken (Rose Franken Meloney)	Return of Claudia.|The Antic years.	A351092	1958-08-21	RE283150	1986-01-06	Rose Franken Meloney|A	Pub. abroad|1957-11-25|AI-5784					
3f4b3149-89d3-0e4d-1b9d-44319995fced					Catherine Arley, revisions and new material: Random House, Inc., as employer for hire of David Alexander.	Woman of straw.	A356869	1958-08-27	RE292573	1986-04-03	Random House, Inc.|PWH	Pub. abroad|1957-02-04|AI-5624				renewed RE 261-753	
