volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
4	1A	1	1	Frederick H. Martens.	A. E. UHE (Little biographies: series 1, Musicians)		A695089	1922-12-30	R59809	1950-03-17	Breitkopf Publications, inc., successor to Breitkopf & Haertel, inc.|PWH						A. E. UHE, by Frederick H. Martens. (Little biographies: series 1, Musicians) © 30Dec22, A695089. R59809, 17Mar50, Breitkopf Publications, inc., successor to Breitkopf & Haertel, inc. (PWH)
4	1A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.		B528574	1922-05-31	R61801	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
4	1A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.		B548911	1922-08-24	R61806	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
4	1A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.		B553698	1922-12-02	R61808	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
4	1A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.		B571736	1923-03-02	R61815	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
4	1A	1	1		ABRAHAM LINCOLN, an address by G. Lynn Sumner; Lincoln Day, Kiwanis Club of Scranton, Pa., Feb. 15, 1922.		A673456	1922-04-12	R58500	1950-02-07	G. Lynn Sumner|A						ABRAHAM LINCOLN, an address by G. Lynn Sumner; Lincoln Day, Kiwanis Club of Scranton, Pa., Feb. 15, 1922. © 12Apr22, A673456. R58500, 7Feb50, G. Lynn Sumner (A)
4	1A	1	1	P. H. Deffendall.	ACTUAL BUSINESS ENGLISH		A681161	1922-08-01	R60449	1950-04-05	P. H. Deffendall|A						ACTUAL BUSINESS ENGLISH, by P. H. Deffendall. © 1Aug22, A681161. R60449, 5Apr50, P. H. Deffendall (A)
4	1A	1	1	Famous Players-Lasky Corp.	ADAM'S RIB, a photoplay in ten reels		L18658	1923-02-07	R58624	1950-02-17	Paramount Pictures Corp.|PWH						ADAM'S RIB, a photoplay in ten reels, by Famous Players-Lasky Corp. © 7Feb23, L18658. R58624, 17Feb50, Paramount Pictures Corp. (PWH)
4	1A	1	1		ADDRESS, by Rudyard Kipling, at the annual dinner of the Royal College of Surgeons, Feb. 14, 1923. Pub. in England in the Morning post, Feb. 15, 1923, as The mystery of man's triumphs of surgery.		A704583	1923-03-27	R60233	1950-03-28	Elsie Bambridge|C	pub. abroad|1923-02-15|AI-4905					ADDRESS, by Rudyard Kipling, at the annual dinner of the Royal College of Surgeons, Feb. 14, 1923. Pub. in England in the Morning post, Feb. 15, 1923, as The mystery of man's triumphs of surgery. © 27Mar23 (pub. abroad 15Feb23, AI-4905), A704583. R60233, 28Mar50, Elsie Bambridge (C)
4	1A	1	1	Mildred Emily Cook	THE ADORATION OF THE KINGS AND SHEPHERDS, a pageant of the nativity; front. and cover design by Elizabeth B. Warren.		A692007	1922-11-18	R63352	1950-06-13	Mildred Emily Cook|A						THE ADORATION OF THE KINGS AND SHEPHERDS, a pageant of the nativity, by Mildred Emily Cook; front. and cover design by Elizabeth B. Warren. © 18Nov22, A692007. R63352, 13Jun50, Mildred Emily Cook (A)
4	1A	1	2	Arthur A. Noyes and Miles S. Sherrill. Complete ed.	AN ADVANCED COURSE OF INSTRUCTION IN CHEMICAL PRINCIPLES		A674144	1922-05-16	R59672	1950-03-20	Clement Gould Noyes|NK						AN ADVANCED COURSE OF INSTRUCTION IN CHEMICAL PRINCIPLES, by Arthur A. Noyes and Miles S. Sherrill. Complete ed. © 16May22, A674144. R59672, 20Mar50, Clement Gould Noyes (NK)
4	1A	1	2	Arthur A. Noyes and Miles S. Sherrill. Complete ed.	AN ADVANCED COURSE OF INSTRUCTION IN CHEMICAL PRINCIPLES		A674144	1922-05-16	R61614	1950-04-27	Clement Gould Noyes|NK||Miles S. Sherrill|A						AN ADVANCED COURSE OF INSTRUCTION IN CHEMICAL PRINCIPLES, by Arthur A. Noyes and Miles S. Sherrill. Complete ed. © 16May22, A674144. R61614, 27Apr50, Clement Gould Noyes (NK) & Miles S. Sherrill (A)
4	1A	1	2	Ben Ames Williams.	THE ADVENTURERS (In Good housekeeping, Oct. 1922-Jan. 1923)		B547935	1922-09-20	R62541	1950-05-25	Ben Ames Williams|A						THE ADVENTURERS, by Ben Ames Williams. (In Good housekeeping, Oct. 1922-Jan. 1923) © 20Sep22, B547935; 20Oct22, B567090; 20Nov22, B567023; 20Dec22, B567091. R62541, R62543, R62542, R62544, 25May50, Ben Ames Williams (A)
4	1A	1	2	Ben Ames Williams.	THE ADVENTURERS (In Good housekeeping, Oct. 1922-Jan. 1923)		B567090	1922-10-20	R62543	1950-05-25	Ben Ames Williams|A						THE ADVENTURERS, by Ben Ames Williams. (In Good housekeeping, Oct. 1922-Jan. 1923) © 20Sep22, B547935; 20Oct22, B567090; 20Nov22, B567023; 20Dec22, B567091. R62541, R62543, R62542, R62544, 25May50, Ben Ames Williams (A)
4	1A	1	2	Ben Ames Williams.	THE ADVENTURERS (In Good housekeeping, Oct. 1922-Jan. 1923)		B567023	1922-11-20	R62542	1950-05-25	Ben Ames Williams|A						THE ADVENTURERS, by Ben Ames Williams. (In Good housekeeping, Oct. 1922-Jan. 1923) © 20Sep22, B547935; 20Oct22, B567090; 20Nov22, B567023; 20Dec22, B567091. R62541, R62543, R62542, R62544, 25May50, Ben Ames Williams (A)
4	1A	1	2	Ben Ames Williams.	THE ADVENTURERS (In Good housekeeping, Oct. 1922-Jan. 1923)		B567091	1922-12-20	R62544	1950-05-25	Ben Ames Williams|A						THE ADVENTURERS, by Ben Ames Williams. (In Good housekeeping, Oct. 1922-Jan. 1923) © 20Sep22, B547935; 20Oct22, B567090; 20Nov22, B567023; 20Dec22, B567091. R62541, R62543, R62542, R62544, 25May50, Ben Ames Williams (A)
4	1A	1	2	Van Campen Heilner	ADVENTURES IN ANGLING, a book of salt water fishing; illustrated by Frank Stick.		A674198	1922-04-25	R59362	1950-03-08	Van Campen Heilner|A						ADVENTURES IN ANGLING, a book of salt water fishing, by Van Campen Heilner; illustrated by Frank Stick. © 25Apr22, A674198. R59362, 8Mar50, Van Campen Heilner (A)
4	1A	1	2	William L. Stidger.	ADVENTURES IN HUMANITY		A704433	1923-04-27	R61921	1950-05-03	William L. Stidger|A						ADVENTURES IN HUMANITY, by William L. Stidger. © 27Apr23, A704433. R61921, 3May50, William L. Stidger (A)
