entry_id	volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
a2ef5c15-98b3-5a11-93d6-ba057fccc857	27	1A	1	158	NANCE, MABEL H. HANSEN.	Bible problems, games and quizzes, by Mabel H. Hansen.		AA490587	1945-05-24	R547717	1973-03-09	Mabel H. Hansen Nance|A						NANCE, MABEL H. HANSEN. Bible problems, games and quizzes, by Mabel H. Hansen. © 24May45; AA490587. Mabel H. Hansen Nance (A); 9Mar73; R547717.
69917b8a-f0d6-53d7-b1a5-f1cfbf86653f	27	1A	1	158	NASH, OGDEN.	Piano tuner, untune me that tune. (In The Saturday evening post. Jan. 20, 1945)		B660809	1945-01-17	R542777	1972-12-04	Frances Nash|W||Isabella Nash Eberstadt & Linell Nash Smith|C						NASH, OGDEN. Piano tuner, untune me that tune. (In The Saturday evening post. Jan. 20, 1945) © 17Jan45; B660809. Frances Nash (W), Isabella Nash Eberstadt & Linell Nash Smith (C); 4Dec72; R542777.
f4489d99-22ea-5f08-ae7b-2e3562cab286	27	1A	1	158	NASON, LEONARD H.	Contact mercury.		A1862	1946-02-21	R551595	1973-04-27	Priscilla Nason Inman|C						NASON, LEONARD H. Contact mercury. © 21Feb46; A1862. Priscilla Nason Inman (C); 27Apr73; R551595.
382b090c-85f9-5ba9-aa90-cb2ec5685edd	27	1A	1	159	NATANSON, JACQUES.	Manigances. Frontispiece et bandeaux de Vial.		AF1635	1946-01-28	R549386	1973-03-30	Jacques Natanson|A						NATANSON, JACQUES. Manigances. Frontispiece et bandeaux de Vial. © 28Jan46; AF1635. Jacques Natanson (A); 30Mar73; R549386.
3dacb5e9-6669-52b7-a9f9-5af7e190ac12	27	1A	1	159	NATHAN, ROBERT.	On the state of mankind. (In The Saturday review of literature, Feb. 2, 1946)		B10508	1946-01-30	R551979	1973-04-16	Robert Nathan|A						NATHAN, ROBERT. On the state of mankind. (In The Saturday review of literature, Feb. 2, 1946) © 30Jan46; B10508. Robert Nathan (A); 16Apr73; R551979.
3c8de717-8001-5046-8b34-0afbf0473b40	27	1A	1	159	NATHAN, ROBERT.	Prophecy. (In The Atlantic monthly, Feb. 1946)		B5564	1946-01-25	R552002	1973-05-04	Robert Nathan|A						NATHAN, ROBERT. Prophecy. (In The Atlantic monthly, Feb. 1946) © 25Jan46; B5564. Robert Nathan (A); 4May73; R552002.
de86aba4-26dc-5575-8474-f74de386cac9	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	The American story. Supplement to handbook, v.1. (A Broadcast series of the NBC University of the Air)		AA488682	1945-07-06	R551721	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. The American story. Supplement to handbook, v.1. (A Broadcast series of the NBC University of the Air) © 6Jul45; AA488682. National Broadcasting Co., Inc. (PWH); 14May73; R551721.
a21d7844-9aac-5d47-af02-6cfd359778b6	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	The haunting hour; an NBC recorded production.		AA486491	1945-06-19	R551720	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. The haunting hour; an NBC recorded production. © 19Jun45; AA486491. National Broadcasting Co., Inc. (PWH); 14May73; R551720.
7ad21c33-4dbd-5dfb-b450-a06d8ab7ed70	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	NBC program policies and working manual.		AA490440	1945-07-17	R551723	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. NBC program policies and working manual. © 17Jul45; AA490440. National Broadcasting Co., Inc. (PWH); 14May73; R551723.
ae078a4c-1b35-5c71-a29d-f97ef19be211	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	1077 cities and how they listen in the daytime.		AA484725	1945-05-15	R551717	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. 1077 cities and how they listen in the daytime. © 15May45; AA484725. National Broadcasting Co., Inc. (PWH); 14May73; R551717.
